VALS	ROWIDX	COLIDX
3.115984784718414957e+01	0.000000000000000000e+00	0.000000000000000000e+00
5.272271346156447436e+00	2.100000000000000000e+01	0.000000000000000000e+00
5.272271346156542471e+00	2.500000000000000000e+01	0.000000000000000000e+00
-1.184655048839568625e+00	4.700000000000000000e+01	0.000000000000000000e+00
-2.711227798298506642e+01	6.500000000000000000e+01	0.000000000000000000e+00
-2.711227798298509839e+01	7.300000000000000000e+01	0.000000000000000000e+00
1.056631295600275244e+01	1.530000000000000000e+02	0.000000000000000000e+00
2.123531150102965004e+00	1.540000000000000000e+02	0.000000000000000000e+00
2.123531150103012521e+00	1.550000000000000000e+02	0.000000000000000000e+00
-1.517747864849151584e-01	1.000000000000000000e+01	0.000000000000000000e+00
-1.195849370735083128e-01	4.800000000000000000e+01	0.000000000000000000e+00
-1.322794541451348449e+00	7.400000000000000000e+01	0.000000000000000000e+00
3.891372748566634954e-01	1.180000000000000000e+02	0.000000000000000000e+00
5.507217306630737275e-01	1.190000000000000000e+02	0.000000000000000000e+00
-1.014452045112705925e-01	1.640000000000000000e+02	0.000000000000000000e+00
-1.517747864849732231e-01	8.000000000000000000e+00	0.000000000000000000e+00
-1.476711959261079940e-02	1.100000000000000000e+01	0.000000000000000000e+00
-1.195849370735509731e-01	4.900000000000000000e+01	0.000000000000000000e+00
-1.322794541451261408e+00	6.600000000000000000e+01	0.000000000000000000e+00
3.891372748566162554e-01	1.170000000000000000e+02	0.000000000000000000e+00
1.278461489372502598e-02	1.200000000000000000e+02	0.000000000000000000e+00
1.278461489377690462e-02	1.210000000000000000e+02	0.000000000000000000e+00
5.507217306630760589e-01	1.220000000000000000e+02	0.000000000000000000e+00
1.209238093977026002e-01	1.620000000000000000e+02	0.000000000000000000e+00
-1.014452045112218120e-01	1.630000000000000000e+02	0.000000000000000000e+00
-1.855072616296943588e-01	2.600000000000000000e+01	0.000000000000000000e+00
-6.355173548607971623e-02	2.800000000000000000e+01	0.000000000000000000e+00
-2.597787159413142422e-01	7.500000000000000000e+01	0.000000000000000000e+00
