VALS	ROWIDX	COLIDX
3.100945112140349380e+01	0.000000000000000000e+00	0.000000000000000000e+00
-2.707964172007523729e+01	6.500000000000000000e+01	0.000000000000000000e+00
-2.707964172007524439e+01	7.300000000000000000e+01	0.000000000000000000e+00
1.062847926630913697e+01	1.530000000000000000e+02	0.000000000000000000e+00
5.245356556485114119e+00	2.100000000000000000e+01	0.000000000000000000e+00
5.245356556485096355e+00	2.500000000000000000e+01	0.000000000000000000e+00
2.139929469703806042e+00	1.540000000000000000e+02	0.000000000000000000e+00
2.139929469703742537e+00	1.550000000000000000e+02	0.000000000000000000e+00
-1.196003410896021579e+00	4.700000000000000000e+01	0.000000000000000000e+00
-1.341374327104047914e+00	6.600000000000000000e+01	0.000000000000000000e+00
-1.341374327104032149e+00	7.400000000000000000e+01	0.000000000000000000e+00
4.162830900049487859e-01	1.170000000000000000e+02	0.000000000000000000e+00
4.162830900048999916e-01	1.180000000000000000e+02	0.000000000000000000e+00
-1.070344239742823389e-01	1.630000000000000000e+02	0.000000000000000000e+00
-1.070344239742300335e-01	1.640000000000000000e+02	0.000000000000000000e+00
-1.821902111539027425e-01	8.000000000000000000e+00	0.000000000000000000e+00
-1.821902111539565605e-01	1.000000000000000000e+01	0.000000000000000000e+00
5.723772919418954608e-01	1.190000000000000000e+02	0.000000000000000000e+00
5.723772919417519089e-01	1.220000000000000000e+02	0.000000000000000000e+00
1.122536466505892894e-01	1.620000000000000000e+02	0.000000000000000000e+00
-1.203822328786384177e-01	4.800000000000000000e+01	0.000000000000000000e+00
-1.203822328785607437e-01	4.900000000000000000e+01	0.000000000000000000e+00
-2.704557330816450000e-01	6.700000000000000000e+01	0.000000000000000000e+00
-2.704557330816866334e-01	7.500000000000000000e+01	0.000000000000000000e+00
4.271435620468180816e-02	1.200000000000000000e+02	0.000000000000000000e+00
4.271435620483372136e-02	1.210000000000000000e+02	0.000000000000000000e+00
3.826232880084516896e-01	1.560000000000000000e+02	0.000000000000000000e+00
3.826232880085064791e-01	1.590000000000000000e+02	0.000000000000000000e+00
-1.109271479446119341e-01	1.580000000000000000e+02	0.000000000000000000e+00
-1.109271479445999714e-01	1.600000000000000000e+02	0.000000000000000000e+00
