Prior density:
( 0.0 , 3.12974794786e-15 )
( 0.00401606425703 , 6.09605344785e-15 )
( 0.00803212851406 , 1.17974002542e-14 )
( 0.0120481927711 , 2.26841237299e-14 )
( 0.0160642570281 , 4.33367008489e-14 )
( 0.0200803212851 , 8.22598342499e-14 )
( 0.0240963855422 , 1.55137918209e-13 )
( 0.0281124497992 , 2.9070080469e-13 )
( 0.0321285140562 , 5.41218525602e-13 )
( 0.0361445783133 , 1.00114554476e-12 )
( 0.0401606425703 , 1.84000892486e-12 )
( 0.0441767068273 , 3.36001166663e-12 )
( 0.0481927710843 , 6.09620813959e-12 )
( 0.0522088353414 , 1.09894746843e-11 )
( 0.0562248995984 , 1.96830422472e-11 )
( 0.0602409638554 , 3.50272193208e-11 )
( 0.0642570281124 , 6.19323050182e-11 )
( 0.0682730923695 , 1.08799518082e-10 )
( 0.0722891566265 , 1.89904320155e-10 )
( 0.0763052208835 , 3.29337256191e-10 )
( 0.0803212851406 , 5.67472769533e-10 )
( 0.0843373493976 , 9.71510134568e-10 )
( 0.0883534136546 , 1.65252405348e-09 )
( 0.0923694779116 , 2.7928421425e-09 )
( 0.0963855421687 , 4.68967918228e-09 )
( 0.100401606426 , 7.82416542462e-09 )
( 0.104417670683 , 1.29697337132e-08 )
( 0.10843373494 , 2.13610324735e-08 )
( 0.112449799197 , 3.4955181887e-08 )
( 0.116465863454 , 5.68327979784e-08 )
( 0.120481927711 , 9.18088725929e-08 )
( 0.124497991968 , 1.47356200955e-07 )
( 0.128514056225 , 2.3499050987e-07 )
( 0.132530120482 , 3.72332011134e-07 )
( 0.136546184739 , 5.86149736466e-07 )
( 0.140562248996 , 9.16821770361e-07 )
( 0.144578313253 , 1.42481804191e-06 )
( 0.14859437751 , 2.20004740924e-06 )
( 0.152610441767 , 3.37522569625e-06 )
( 0.156626506024 , 5.14483846081e-06 )
( 0.160642570281 , 7.791818236e-06 )
( 0.164658634538 , 1.17247617913e-05 )
( 0.168674698795 , 1.75294136104e-05 )
( 0.172690763052 , 2.60392753559e-05 )
( 0.176706827309 , 3.84316070431e-05 )
( 0.180722891566 , 5.6356802086e-05 )
( 0.184738955823 , 8.21111780831e-05 )
( 0.18875502008 , 0.000118865650165 )
( 0.192771084337 , 0.000170965547947 )
( 0.196787148594 , 0.000244319977791 )
( 0.200803212851 , 0.000346902558824 )
( 0.204819277108 , 0.000489388964231 )
( 0.208835341365 , 0.00068596030629 )
( 0.212851405622 , 0.00095530476696 )
( 0.21686746988 , 0.00132185266096 )
( 0.220883534137 , 0.00181728189515 )
