
Matern 0.75:
( -2.5 , 0.07872508900121138 )
( -2.4748743718592965 , 0.08101285367729723 )
( -2.449748743718593 , 0.08336556039118077 )
( -2.4246231155778895 , 0.08578497878329484 )
( -2.399497487437186 , 0.08827292288458251 )
( -2.3743718592964824 , 0.09083125200942692 )
( -2.349246231155779 , 0.09346187165180758 )
( -2.3241206030150754 , 0.09616673438339679 )
( -2.298994974874372 , 0.09894784075218051 )
( -2.2738693467336684 , 0.10180724018004868 )
( -2.248743718592965 , 0.10474703185764747 )
( -2.2236180904522613 , 0.10776936563462222 )
( -2.198492462311558 , 0.11087644290320307 )
( -2.1733668341708543 , 0.11407051747289136 )
( -2.148241206030151 , 0.11735389643379751 )
( -2.1231155778894473 , 0.12072894100595527 )
( -2.0979899497487438 , 0.12419806737169245 )
( -2.0728643216080402 , 0.12776374748787117 )
( -2.0477386934673367 , 0.13142850987452617 )
( -2.022613065326633 , 0.13519494037611363 )
( -1.9974874371859297 , 0.13906568289124546 )
( -1.9723618090452262 , 0.1430434400664163 )
( -1.9472361809045227 , 0.1471309739488267 )
( -1.9221105527638191 , 0.1513311065929752 )
( -1.8969849246231156 , 0.15564672061521218 )
( -1.8718592964824121 , 0.16008075968993826 )
( -1.8467336683417086 , 0.1646362289805621 )
( -1.821608040201005 , 0.1693161954977237 )
( -1.7964824120603016 , 0.17412378837661655 )
( -1.771356783919598 , 0.17906219906451473 )
( -1.7462311557788945 , 0.184134681408809 )
( -1.721105527638191 , 0.18934455163498407 )
( -1.6959798994974875 , 0.19469518820301257 )
( -1.670854271356784 , 0.20019003152959083 )
( -1.6457286432160805 , 0.20583258356249307 )
( -1.620603015075377 , 0.2116264071920479 )
( -1.5954773869346734 , 0.21757512548339789 )
( -1.57035175879397 , 0.22368242071153965 )
( -1.5452261306532664 , 0.22995203317967416 )
( -1.5201005025125627 , 0.2363877597993152 )
( -1.4949748743718592 , 0.24299345240868497 )
( -1.4698492462311559 , 0.24977301580359992 )
( -1.4447236180904524 , 0.25673040545251097 )
( -1.4195979899497488 , 0.26386962486462917 )
( -1.394472361809045 , 0.2711947225768537 )
( -1.3693467336683416 , 0.27870978872182767 )
( -1.3442211055276383 , 0.28641895113555815 )
( -1.3190954773869348 , 0.2943263709586764 )
( -1.2939698492462313 , 0.3024362376806152 )
( -1.2688442211055275 , 0.31075276357052045 )
( -1.2437185929648242 , 0.31928017743258025 )
( -1.2185929648241207 , 0.3280227176166188 )
( -1.193467336683417 , 0.3369846242069496 )
( -1.1683417085427137 , 0.3461701303037347 )
( -1.14321608040201 , 0.35558345230104804 )
( -1.1180904522613064 , 0.3652287790544768 )
( -1.0929648241206031 , 0.3751102598181066 )
( -1.0678391959798994 , 0.3852319908158605 )
( -1.042713567839196 , 0.39559800029509784 )
( -1.0175879396984924 , 0.40621223189074196 )
( -0.9924623115577889 , 0.41707852610547985 )
( -0.9673366834170856 , 0.42820059968528285 )
( -0.9422110552763818 , 0.43958202263885876 )
( -0.9170854271356785 , 0.45122619261388236 )
( -0.8919597989949748 , 0.4631363063009177 )
( -0.8668341708542713 , 0.47531532748651933 )
( -0.841708542713568 , 0.4877659513185982 )
( -0.8165829145728642 , 0.5004905642776515 )
( -0.791457286432161 , 0.513491199264495 )
( -0.7663316582914572 , 0.5267694851155107 )
( -0.7412060301507537 , 0.540326589736074 )
