Mean vec: 
( 0.0 , 0.0 )
( 0.004016064257028112 , 0.03759954869795479 )
( 0.008032128514056224 , 0.0749828195659461 )
( 0.012048192771084336 , 0.11211344540899404 )
( 0.01606425702811245 , 0.14895311993109317 )
( 0.020080321285140562 , 0.18546207858003072 )
( 0.024096385542168672 , 0.22159944887107486 )
( 0.028112449799196783 , 0.2573235371262683 )
( 0.0321285140562249 , 0.2925920784127243 )
( 0.03614457831325301 , 0.32736246375762335 )
( 0.040160642570281124 , 0.3615919533387171 )
( 0.04417670682730923 , 0.3952378817480451 )
( 0.048192771084337345 , 0.42825786014381606 )
( 0.05220883534136546 , 0.46060997957394534 )
( 0.056224899598393566 , 0.4922530197816002 )
( 0.06024096385542168 , 0.5231466683630117 )
( 0.0642570281124498 , 0.5532517564464854 )
( 0.0682730923694779 , 0.582530519569957 )
( 0.07228915662650602 , 0.6109468974174206 )
( 0.07630522088353413 , 0.6384668970199812 )
( 0.08032128514056225 , 0.6650590740858036 )
( 0.08433734939759036 , 0.6906953366481616 )
( 0.08835341365461846 , 0.7153523557236383 )
( 0.09236947791164658 , 0.7390112592203479 )
( 0.09638554216867469 , 0.7616563803345571 )
( 0.1004016064257028 , 0.7832746727878543 )
( 0.10441767068273092 , 0.8038553562756192 )
( 0.10843373493975902 , 0.823389661507548 )
( 0.11244979919678713 , 0.8418706327443886 )
( 0.11646586345381525 , 0.8592929678977157 )
( 0.12048192771084336 , 0.8756528850807683 )
( 0.12449799196787148 , 0.8909480087532415 )
( 0.1285140562248996 , 0.9051772709348711 )
( 0.1325301204819277 , 0.9183408243402482 )
( 0.1365461847389558 , 0.9304399651609288 )
( 0.14056224899598393 , 0.94147706380204 )
( 0.14457831325301204 , 0.951455502272438 )
( 0.14859437751004015 , 0.9603796172185923 )
( 0.15261044176706826 , 0.9682546477938843 )
( 0.15662650602409636 , 0.9750866877141675 )
( 0.1606425702811245 , 0.9808826409638982 )
( 0.1646586345381526 , 0.985650180713975 )
( 0.1686746987951807 , 0.9893977110784533 )
( 0.17269076305220882 , 0.9921343313987734 )
( 0.17670682730923692 , 0.9938698027897033 )
( 0.18072289156626503 , 0.9946145167159557 )
( 0.18473895582329317 , 0.9943794654032274 )
( 0.18875502008032127 , 0.9931762139102318 )
( 0.19277108433734938 , 0.9910168737115441 )
( 0.1967871485943775 , 0.9879140776572228 )
( 0.2008032128514056 , 0.9838809561931896 )
( 0.20481927710843373 , 0.9789311147352464 )
( 0.20883534136546184 , 0.9730786121068888 )
( 0.21285140562248994 , 0.9663379399529219 )
( 0.21686746987951805 , 0.9587240030576538 )
( 0.22088353413654616 , 0.9502521004956179 )
( 0.22489959839357426 , 0.9409379075563891 )
( 0.2289156626506024 , 0.9307974583835232 )
( 0.2329317269076305 , 0.9198471292801287 )
( 0.2369477911646586 , 0.908103622631188 )
( 0.24096385542168672 , 0.8955839513993737 )
( 0.24497991967871482 , 0.8823054241561294 )
( 0.24899598393574296 , 0.868285630609364 )
( 0.25301204819277107 , 0.8535424275943058 )
( 0.2570281124497992 , 0.8380939254953716 )
( 0.2610441767068273 , 0.8219584750688966 )
( 0.2650602409638554 , 0.8051546546407451 )
( 0.2690763052208835 , 0.7877012576483935 )
( 0.2730923694779116 , 0.7696172805080437 )
( 0.2771084337349397 , 0.7509219107807894 )
( 0.28112449799196787 , 0.7316345156140756 )
( 0.285140562248996 , 0.7117746304420507 )
( 0.2891566265060241 , 0.6913619479201429 )
( 0.2931726907630522 , 0.6704163070785683 )
( 0.2971887550200803 , 0.6489576826730001 )
( 0.3012048192771084 , 0.6270061747179625 )
( 0.3052208835341365 , 0.60458199818342 )
( 0.3092369477911646 , 0.5817054728393884 )
( 0.3132530120481927 , 0.5583970132313993 )
( 0.31726907630522083 , 0.5346771187718957 )
( 0.321285140562249 , 0.5105663639322984 )
( 0.3253012048192771 , 0.48608538851829053 )
( 0.3293172690763052 , 0.46125488801638426 )
( 0.3333333333333333 , 0.43609560399403335 )
( 0.3373493975903614 , 0.41062831453982085 )
( 0.34136546184738953 , 0.3848738247274639 )
( 0.34538152610441764 , 0.35885295708933995 )
( 0.34939759036144574 , 0.3325865420835612 )
( 0.35341365461847385 , 0.30609540853831163 )
( 0.35742971887550196 , 0.2794003740593496 )
( 0.36144578313253006 , 0.2525222353806953 )
( 0.3654618473895582 , 0.22548175864443465 )
( 0.36947791164658633 , 0.19829966959031253 )
( 0.37349397590361444 , 0.17099664363624356 )
( 0.37751004016064255 , 0.14359329583075464 )
( 0.38152610441767065 , 0.11611017065567353 )
( 0.38554216867469876 , 0.08856773165865661 )
( 0.38955823293172687 , 0.06098635088980586 )
( 0.393574297188755 , 0.03338629811833016 )
( 0.3975903614457831 , 0.005787729802278818 )
( 0.4016064257028112 , -0.021789322219774476 )
( 0.4056224899598393 , -0.04932496234731332 )
( 0.40963855421686746 , -0.07679944317943921 )
( 0.41365461847389556 , -0.10419317786490012 )
( 0.41767068273092367 , -0.13148675287908418 )
( 0.4216867469879518 , -0.15866094128033126 )
( 0.4257028112449799 , -0.18569671649926534 )
( 0.429718875502008 , -0.2125752667277112 )
( 0.4337349397590361 , -0.23927800997574877 )
( 0.4377510040160642 , -0.26578660988487 )
( 0.4417670682730923 , -0.29208299239357416 )
( 0.4457831325301204 , -0.31814936336992616 )
( 0.4497991967871485 , -0.34396822735490673 )
( 0.4538152610441767 , -0.3695224075757295 )
( 0.4578313253012048 , -0.3947950674431695 )
( 0.4618473895582329 , -0.4197697337830846 )
( 0.465863453815261 , -0.4444303221295911 )
( 0.4698795180722891 , -0.46876116450395955 )
( 0.4738955823293172 , -0.49274704024452376 )
( 0.47791164658634533 , -0.5163732106671972 )
( 0.48192771084337344 , -0.5396254586819396 )
( 0.48594377510040154 , -0.5624901350668239 )
( 0.48995983935742965 , -0.5849542141848616 )
( 0.4939759036144578 , -0.6070053642019388 )
( 0.4979919678714859 , -0.6286320427980314 )
( 0.502008032128514 , -0.6498236559096426 )
( 0.5060240963855421 , -0.6705708705613773 )
( 0.5100401606425702 , -0.6908656161106848 )
( 0.5140562248995983 , -0.7107007739097355 )
( 0.5180722891566265 , -0.7300700210579549 )
( 0.5220883534136546 , -0.7489677371929133 )
( 0.5261044176706827 , -0.7673889367840587 )
( 0.5301204819277108 , -0.7853292159388587 )
( 0.5341365461847389 , -0.8027847086642339 )
( 0.538152610441767 , -0.8197520498049471 )
( 0.5421686746987951 , -0.8362283429549962 )
( 0.5461847389558232 , -0.8522111322221946 )
( 0.5502008032128514 , -0.8676983770700133 )
( 0.5542168674698794 , -0.8826884296691873 )
( 0.5582329317269076 , -0.8971800143434763 )
( 0.5622489959839357 , -0.9111722087837819 )
( 0.5662650602409638 , -0.9246644267771558 )
( 0.570281124497992 , -0.9376564022503828 )
( 0.57429718875502 , -0.9501481744608213 )
( 0.5783132530120482 , -0.9621400742018409 )
( 0.5823293172690762 , -0.9736327109073528 )
( 0.5863453815261044 , -0.9846269605627356 )
( 0.5903614457831324 , -0.9951239543388084 )
( 0.5943775100401606 , -1.005125067881437 )
( 0.5983935742971886 , -1.0146319111956643 )
( 0.6024096385542168 , -1.0236463190721707 )
( 0.606425702811245 , -1.032170342010403 )
( 0.610441767068273 , -1.040206237598042 )
( 0.6144578313253012 , -1.0477564623114262 )
( 0.6184738955823292 , -1.0548236637033739 )
( 0.6224899598393574 , -1.061410672952789 )
( 0.6265060240963854 , -1.067520497747637 )
( 0.6305220883534136 , -1.0731563154795651 )
( 0.6345381526104417 , -1.078321466729733 )
( 0.6385542168674698 , -1.0830194490254854 )
( 0.642570281124498 , -1.0872539108517003 )
( 0.646586345381526 , -1.09102864590038 )
( 0.6506024096385542 , -1.0943475875439646 )
( 0.6546184738955823 , -1.097214803520572 )
( 0.6586345381526104 , -1.0996344908149212 )
( 0.6626506024096385 , -1.1016109707294532 )
( 0.6666666666666666 , -1.1031486841292093 )
( 0.6706827309236947 , -1.1042521868545947 )
( 0.6746987951807228 , -1.1049261452916568 )
( 0.6787148594377509 , -1.1051753320910649 )
( 0.6827309236947791 , -1.105004622028531 )
( 0.6867469879518072 , -1.1044189879986845 )
( 0.6907630522088353 , -1.103423497135978 )
( 0.6947791164658634 , -1.102023307055859 )
( 0.6987951807228915 , -1.1002236622091175 )
( 0.7028112449799196 , -1.0980298903459556 )
( 0.7068273092369477 , -1.0954473990813653 )
( 0.7108433734939759 , -1.0924816725584776 )
( 0.7148594377510039 , -1.0891382682052893 )
( 0.7188755020080321 , -1.0854228135776793 )
( 0.7228915662650601 , -1.0813410032872213 )
( 0.7269076305220883 , -1.0768985960074104 )
( 0.7309236947791165 , -1.0721014115549679 )
( 0.7349397590361445 , -1.0669553280428516 )
( 0.7389558232931727 , -1.061466279099804 )
( 0.7429718875502007 , -1.0556402511541165 )
( 0.7469879518072289 , -1.0494832807783325 )
( 0.7510040160642569 , -1.0430014520897828 )
( 0.7550200803212851 , -1.036200894206047 )
( 0.7590361445783131 , -1.0290877787502808 )
( 0.7630522088353413 , -1.021668317404263 )
( 0.7670682730923694 , -1.0139487595068317 )
( 0.7710843373493975 , -1.0059353896930077 )
( 0.7751004016064257 , -0.99763452557319 )
( 0.7791164658634537 , -0.9890525154476961 )
( 0.7831325301204819 , -0.9801957360555207 )
( 0.78714859437751 , -0.9710705903538184 )
( 0.7911646586345381 , -0.9616835053251407 )
( 0.7951807228915662 , -0.9520409298109342 )
( 0.7991967871485943 , -0.942149332368146 )
( 0.8032128514056224 , -0.9320151991461358 )
( 0.8072289156626505 , -0.9216450317813667 )
( 0.8112449799196786 , -0.9110453453082243 )
( 0.8152610441767068 , -0.9002226660818167 )
( 0.8192771084337349 , -0.8891835297120423 )
( 0.823293172690763 , -0.877934479004594 )
( 0.8273092369477911 , -0.8664820619072202 )
( 0.8313253012048192 , -0.8548328294586156 )
( 0.8353413654618473 , -0.8429933337361035 )
( 0.8393574297188754 , -0.8309701258017981 )
( 0.8433734939759036 , -0.8187697536401828 )
( 0.8473895582329316 , -0.8063987600892091 )
( 0.8514056224899598 , -0.7938636807569708 )
( 0.8554216867469878 , -0.7811710419250915 )
( 0.859437751004016 , -0.7683273584309234 )
( 0.8634538152610441 , -0.7553391315303628 )
( 0.8674698795180722 , -0.7422128467322011 )
( 0.8714859437751004 , -0.7289549716037556 )
( 0.8755020080321284 , -0.7155719535427494 )
( 0.8795180722891566 , -0.7020702175097142 )
( 0.8835341365461846 , -0.6884561637183992 )
( 0.8875502008032128 , -0.6747361652770394 )
( 0.8915662650602408 , -0.6609165657764038 )
( 0.895582329317269 , -0.6470036768174623 )
( 0.899598393574297 , -0.6330037754737248 )
( 0.9036144578313252 , -0.6189231016795702 )
( 0.9076305220883534 , -0.6047678555380713 )
( 0.9116465863453814 , -0.5905441945374434 )
( 0.9156626506024096 , -0.5762582306699358 )
( 0.9196787148594376 , -0.5619160274391675 )
( 0.9236947791164658 , -0.5475235967440142 )
( 0.9277108433734939 , -0.533086895627946 )
( 0.931726907630522 , -0.5186118228739218 )
( 0.9357429718875501 , -0.5041042154297344 )
