

Mean vec: 
( 0.0 , 1.4210854715202004e-14 )
( 0.004016064257028112 , 0.04069488901090779 )
( 0.008032128514056224 , 0.08092873622517516 )
( 0.012048192771084336 , 0.12063938488378767 )
( 0.01606425702811245 , 0.15976143672101273 )
( 0.020080321285140562 , 0.19822748276793334 )
( 0.024096385542168672 , 0.23596904866623447 )
( 0.028112449799196783 , 0.2729174155861358 )
( 0.0321285140562249 , 0.3090043865931733 )
( 0.03614457831325301 , 0.34416304248560436 )
( 0.040160642570281124 , 0.3783285251422086 )
( 0.04417670682730923 , 0.4114388930656503 )
( 0.048192771084337345 , 0.4434361189022695 )
( 0.05220883534136546 , 0.47426737663184326 )
( 0.056224899598393566 , 0.5038871798825681 )
( 0.06024096385542168 , 0.5322608732249137 )
( 0.0642570281124498 , 0.559363532663042 )
( 0.0682730923694779 , 0.5851770257937972 )
( 0.07228915662650602 , 0.6096886676584461 )
( 0.07630522088353413 , 0.6328903973204376 )
( 0.08032128514056225 , 0.6547781850673715 )
( 0.08433734939759036 , 0.6753515728239137 )
( 0.08835341365461846 , 0.6946133011861093 )
( 0.09236947791164658 , 0.7125689969527542 )
( 0.09638554216867469 , 0.7292269050364268 )
( 0.1004016064257028 , 0.7445976540878689 )
( 0.10441767068273092 , 0.7586940484120959 )
( 0.10843373493975902 , 0.7715308808058694 )
( 0.11244979919678713 , 0.7831247622916493 )
( 0.11646586345381525 , 0.7934939656385893 )
( 0.12048192771084336 , 0.8026582802366704 )
( 0.12449799196787148 , 0.810638876321633 )
( 0.1285140562248996 , 0.8174581769090565 )
( 0.1325301204819277 , 0.8231397360368362 )
( 0.1365461847389558 , 0.8277081220840472 )
( 0.14056224899598393 , 0.8311888050649969 )
( 0.14457831325301204 , 0.8336080468594673 )
( 0.14859437751004015 , 0.8349927933744965 )
( 0.15261044176706826 , 0.8353705676138219 )
( 0.15662650602409636 , 0.8347693625493804 )
( 0.1606425702811245 , 0.8332175325536184 )
( 0.1646586345381526 , 0.8307436818901976 )
( 0.1686746987951807 , 0.8273765483333335 )
( 0.17269076305220882 , 0.8231448792913625 )
( 0.17670682730923692 , 0.8180772965167051 )
( 0.18072289156626503 , 0.8122021430358473 )
( 0.18473895582329317 , 0.8055473004716447 )
( 0.18875502008032127 , 0.7981399492293804 )
( 0.19277108433734938 , 0.7900061595092751 )
( 0.1967871485943775 , 0.7811702764461614 )
( 0.2008032128514056 , 0.7716551840552626 )
( 0.20481927710843373 , 0.7614827967490356 )
( 0.20883534136546184 , 0.750674278023709 )
( 0.21285140562248994 , 0.7392501731740282 )
( 0.21686746987951805 , 0.727230502473887 )
( 0.22088353413654616 , 0.7146348311753457 )
( 0.22489959839357426 , 0.7014823243007697 )
( 0.2289156626506024 , 0.6877917907439723 )
( 0.2329317269076305 , 0.6735817194838489 )
( 0.2369477911646586 , 0.6588703097769297 )
( 0.24096385542168672 , 0.6436754966254625 )
( 0.24497991967871482 , 0.6280149724607327 )
( 0.24899598393574296 , 0.6119062057416897 )
( 0.25301204819277107 , 0.5953664570001393 )
( 0.2570281124497992 , 0.5784127927457092 )
( 0.2610441767068273 , 0.5610620975640472 )
( 0.2650602409638554 , 0.5433310846646009 )
( 0.2690763052208835 , 0.5252363050966977 )
( 0.2730923694779116 , 0.5067941558070572 )
( 0.2771084337349397 , 0.48802088668381316 )
( 0.28112449799196787 , 0.46893260671022574 )
( 0.285140562248996 , 0.44954528932777293 )
( 0.2891566265060241 , 0.4298747770958613 )
( 0.2931726907630522 , 0.40993678572326075 )
( 0.2971887550200803 , 0.38974690753131824 )
( 0.3012048192771084 , 0.36932061440235486 )
( 0.3052208835341365 , 0.3486732602636238 )
( 0.3092369477911646 , 0.32782008314217137 )
( 0.3132530120481927 , 0.3067762068275215 )
( 0.31726907630522083 , 0.28555664217095966 )
( 0.321285140562249 , 0.26417628804696847 )
( 0.3253012048192771 , 0.24264993200026197 )
( 0.3293172690763052 , 0.2209922505966091 )
( 0.3333333333333333 , 0.19921780949364631 )
( 0.3373493975903614 , 0.17734106324513732 )
( 0.34136546184738953 , 0.15537635485267742 )
( 0.34538152610441764 , 0.13333791507213277 )
( 0.34939759036144574 , 0.11123986148432152 )
( 0.35341365461847385 , 0.08909619733474017 )
( 0.35742971887550196 , 0.06692081015052054 )
( 0.36144578313253006 , 0.044727470133381075 )
( 0.3654618473895582 , 0.022529828333148316 )
( 0.36947791164658633 , 0.00034141460237435695 )
( 0.37349397590361444 , -0.02182436466743809 )
( 0.37751004016064255 , -0.043954229034497416 )
( 0.38152610441767065 , -0.06603502671991635 )
( 0.38554216867469876 , -0.08805373754933044 )
( 0.38955823293172687 , -0.10999747613263366 )
( 0.393574297188755 , -0.13185349528896495 )
( 0.3975903614457831 , -0.1536091897221752 )
( 0.4016064257028112 , -0.1752520999635152 )
( 0.4056224899598393 , -0.19676991659385124 )
( 0.40963855421686746 , -0.2181504847538065 )
( 0.41365461847389556 , -0.239381808972027 )
( 0.41767068273092367 , -0.2604520583215475 )
( 0.4216867469879518 , -0.2813495719341006 )
( 0.4257028112449799 , -0.302062864897394 )
( 0.429718875502008 , -0.3225806345730149 )
( 0.4337349397590361 , -0.3428917673664671 )
( 0.4377510040160642 , -0.36298534599978893 )
( 0.4417670682730923 , -0.3828506573401995 )
( 0.4457831325301204 , -0.4024772008418154 )
( 0.4497991967871485 , -0.4218546976877633 )
( 0.4538152610441767 , -0.44097310071676077 )
( 0.4578313253012048 , -0.45982260525563845 )
( 0.4618473895582329 , -0.47839366100328107 )
( 0.465863453815261 , -0.49667698514281255 )
( 0.4698795180722891 , -0.5146635769349501 )
( 0.4738955823293172 , -0.5323447341075962 )
( 0.47791164658634533 , -0.5497120714909158 )
( 0.48192771084337344 , -0.5667575425418647 )
( 0.48594377510040154 , -0.5834734647374233 )
( 0.48995983935742965 , -0.59985255043091 )
( 0.4939759036144578 , -0.6158879460809317 )
( 0.4979919678714859 , -0.6315732861711183 )
( 0.502008032128514 , -0.6469027833894216 )
( 0.5060240963855421 , -0.6618714074105014 )
( 0.5100401606425702 , -0.6764748846143078 )
( 0.5140562248995983 , -0.690709518740519 )
( 0.5180722891566265 , -0.7045721001441052 )
( 0.5220883534136546 , -0.7180598513094196 )
( 0.5261044176706827 , -0.7311703870509518 )
( 0.5301204819277108 , -0.7439016830833651 )
( 0.5341365461847389 , -0.7562520500470953 )
( 0.538152610441767 , -0.7682201114021012 )
( 0.5421686746987951 , -0.7798047841975375 )
( 0.5461847389558232 , -0.7910052620827202 )
( 0.5502008032128514 , -0.8018210001065285 )
( 0.5542168674698794 , -0.8122517009810934 )
( 0.5582329317269076 , -0.822297302569595 )
( 0.5622489959839357 , -0.831957966410684 )
( 0.5662650602409638 , -0.8412340671296619 )
( 0.570281124497992 , -0.8501261826280171 )
( 0.57429718875502 , -0.8586350849455897 )
( 0.5783132530120482 , -0.8667617317262142 )
( 0.5823293172690762 , -0.8745072582152318 )
( 0.5863453815261044 , -0.8818729697358947 )
( 0.5903614457831324 , -0.8888603345977373 )
( 0.5943775100401606 , -0.8954709773963287 )
( 0.5983935742971886 , -0.9017066726694623 )
( 0.6024096385542168 , -0.9075693388768968 )
( 0.606425702811245 , -0.9130610326821937 )
( 0.610441767068273 , -0.9181839435079127 )
( 0.6144578313253012 , -0.9229403883447844 )
( 0.6184738955823292 , -0.9273328067974376 )
( 0.6224899598393574 , -0.9313637563469541 )
( 0.6265060240963854 , -0.9350359078203212 )
( 0.6305220883534136 , -0.9383520410459454 )
( 0.6345381526104417 , -0.9413150406896307 )
( 0.6385542168674698 , -0.9439278922545355 )
( 0.642570281124498 , -0.9461936782400784 )
( 0.646586345381526 , -0.948115574443662 )
( 0.6506024096385542 , -0.9496968464026452 )
( 0.6546184738955823 , -0.9509408459673239 )
( 0.6586345381526104 , -0.9518510079913227 )
( 0.6626506024096385 , -0.9524308471441003 )
( 0.6666666666666666 , -0.952683954828359 )
( 0.6706827309236947 , -0.9526139962025724 )
( 0.6746987951807228 , -0.952224707300303 )
( 0.6787148594377509 , -0.9515198922430272 )
( 0.6827309236947791 , -0.9505034205416507 )
( 0.6867469879518072 , -0.9491792244790247 )
( 0.6907630522088353 , -0.9475512965740336 )
( 0.6947791164658634 , -0.9456236871186974 )
( 0.6987951807228915 , -0.9434005017880054 )
( 0.7028112449799196 , -0.9408858993170384 )
( 0.7068273092369477 , -0.9380840892417268 )
( 0.7108433734939759 , -0.9349993297007586 )
( 0.7148594377510039 , -0.9316359252968027 )
( 0.7188755020080321 , -0.9279982250108674 )
( 0.7228915662650601 , -0.9240906201695935 )
( 0.7269076305220883 , -0.9199175424628692 )
( 0.7309236947791165 , -0.9154834620067049 )
( 0.7349397590361445 , -0.91079288545248 )
( 0.7389558232931727 , -0.9058503541369873 )
( 0.7429718875502007 , -0.9006604422720841 )
( 0.7469879518072289 , -0.8952277551733019 )
( 0.7510040160642569 , -0.8895569275228752 )
( 0.7550200803212851 , -0.8836526216667551 )
( 0.7590361445783131 , -0.8775195259416932 )
( 0.7630522088353413 , -0.8711623530336539 )
( 0.7670682730923694 , -0.8645858383626432 )
( 0.7710843373493975 , -0.8577947384915063 )
( 0.7751004016064257 , -0.8507938295633863 )
( 0.7791164658634537 , -0.8435879057545534 )
( 0.7831325301204819 , -0.8361817777531968 )
( 0.78714859437751 , -0.828580271252612 )
( 0.7911646586345381 , -0.8207882254635877 )
( 0.7951807228915662 , -0.812810491639766 )
( 0.7991967871485943 , -0.8046519316179399 )
( 0.8032128514056224 , -0.796317416368403 )
( 0.8072289156626505 , -0.7878118245562575 )
( 0.8112449799196786 , -0.7791400411090876 )
( 0.8152610441767068 , -0.7703069557920088 )
( 0.8192771084337349 , -0.7613174617877405 )
( 0.823293172690763 , -0.7521764542778513 )
( 0.8273092369477911 , -0.7428888290259366 )
( 0.8313253012048192 , -0.7334594809588495 )
( 0.8353413654618473 , -0.7238933027462338 )
( 0.8393574297188754 , -0.7141951833739952 )
( 0.8433734939759036 , -0.7043700067111516 )
( 0.8473895582329316 , -0.6944226500680628 )
( 0.8514056224899598 , -0.6843579827427746 )
( 0.8554216867469878 , -0.6741808645546641 )
( 0.859437751004016 , -0.663896144360713 )
( 0.8634538152610441 , -0.6535086585559213 )
( 0.8674698795180722 , -0.6430232295503586 )
( 0.8714859437751004 , -0.6324446642215946 )
( 0.8755020080321284 , -0.6217777523453236 )
( 0.8795180722891566 , -0.611027264988401 )
( 0.8835341365461846 , -0.6001979528761936 )
( 0.8875502008032128 , -0.5892945447167293 )
( 0.8915662650602408 , -0.5783217454875498 )
( 0.895582329317269 , -0.5672842346743749 )
( 0.899598393574297 , -0.5561866644626434 )
( 0.9036144578313252 , -0.5450336578708885 )
( 0.9076305220883534 , -0.5338298068255156 )
( 0.9116465863453814 , -0.522579670166067 )
( 0.9156626506024096 , -0.5112877715767823 )
( 0.9196787148594376 , -0.49995859743788174 )
( 0.9236947791164658 , -0.4885965945809261 )
( 0.9277108433734939 , -0.47720616794869386 )
( 0.931726907630522 , -0.46579167813424505 )
( 0.9357429718875501 , -0.4543574388032283 )
( 0.9397590361445782 , -0.44290771396276085 )
( 0.9437751004016064 , -0.43144671508047594 )
( 0.9477911646586344 , -0.41997859801060144 )
( 0.9518072289156626 , -0.40850745971973623 )
( 0.9558232931726907 , -0.39703733476613934 )
( 0.9598393574297188 , -0.38557219150095534 )
( 0.9638554216867469 , -0.3741159279373605 )
( 0.967871485943775 , -0.3626723672217196 )
( 0.9718875502008031 , -0.35124525263183415 )
( 0.9759036144578312 , -0.3398382419736379 )
( 0.9799196787148593 , -0.3284549012237292 )
( 0.9839357429718875 , -0.3170986971742096 )
( 0.9879518072289156 , -0.30577298871008196 )
( 0.9919678714859437 , -0.2944810160683886 )
( 0.9959839357429718 , -0.28322588683129624 )
( 1.0 , -0.27201055544468744 )


Pos dev: 
( 0.0 , 1.4210854715202004e-14 )
( 0.004016064257028112 , 0.041968531504069755 )
( 0.008032128514056224 , 0.08325731206074394 )
( 0.012048192771084336 , 0.12380043178632988 )
( 0.01606425702811245 , 0.16353234358270116 )
( 0.020080321285140562 , 0.20238810989180386 )
( 0.024096385542168672 , 0.24030394272293956 )
( 0.028112449799196783 , 0.2772178202909918 )
( 0.0321285140562249 , 0.3130701544936567 )
( 0.03614457831325301 , 0.3478045219976304 )
( 0.040160642570281124 , 0.3813684942923029 )
( 0.04417670682730923 , 0.41371463555176297 )
( 0.048192771084337345 , 0.4448018159416153 )
( 0.05220883534136546 , 0.474597260216395 )
( 0.056224899598393566 , 0.5046927168238062 )
( 0.06024096385542168 , 0.5342706179697284 )
( 0.0642570281124498 , 0.5626221855732435 )
( 0.0682730923694779 , 0.589708894475515 )
( 0.07228915662650602 , 0.6154997450098738 )
( 0.07630522088353413 , 0.6399699167373568 )
( 0.08032128514056225 , 0.663099914187413 )
( 0.08433734939759036 , 0.6848749533824176 )
( 0.08835341365461846 , 0.7052844890886855 )
( 0.09236947791164658 , 0.7243218332855841 )
( 0.09638554216867469 , 0.7419838369811118 )
( 0.1004016064257028 , 0.7582706182294211 )
( 0.10441767068273092 , 0.7731853250999592 )
( 0.10843373493975902 , 0.786733925842401 )
( 0.11244979919678713 , 0.7989250206772727 )
( 0.11646586345381525 , 0.8097696710874324 )
( 0.12048192771084336 , 0.8192812434765805 )
( 0.12449799196787148 , 0.8274752647484642 )
( 0.1285140562248996 , 0.8343692878727607 )
( 0.1325301204819277 , 0.839982765886046 )
( 0.1365461847389558 , 0.8443369330631885 )
( 0.14056224899598393 , 0.8474546922378374 )
( 0.14457831325301204 , 0.8493605074459422 )
( 0.14859437751004015 , 0.8500803012546543 )
( 0.15261044176706826 , 0.8496413563325972 )
( 0.15662650602409636 , 0.8480722210381453 )
( 0.1606425702811245 , 0.8454026191256858 )
( 0.1646586345381526 , 0.8416633641473371 )
( 0.1686746987951807 , 0.8368862799570587 )
( 0.17269076305220882 , 0.8311041303286634 )
( 0.17670682730923692 , 0.8243505640211377 )
( 0.18072289156626503 , 0.8166600896685453 )
( 0.18473895582329317 , 0.8080681184060493 )
( 0.18875502008032127 , 0.7986112127393646 )
( 0.19277108433734938 , 0.7916838805233477 )
( 0.1967871485943775 , 0.7850811874060025 )
( 0.2008032128514056 , 0.7778716449444839 )
( 0.20481927710843373 , 0.7700669158102864 )
( 0.20883534136546184 , 0.7616787433686868 )
( 0.21285140562248994 , 0.7527188207369412 )
( 0.21686746987951805 , 0.7431987504832944 )
( 0.22088353413654616 , 0.733130036583014 )
( 0.22489959839357426 , 0.7225240895586525 )
( 0.2289156626506024 , 0.7113922371217112 )
( 0.2329317269076305 , 0.6997457368509739 )
( 0.2369477911646586 , 0.68759578926585 )
( 0.24096385542168672 , 0.6749535504894562 )
( 0.24497991967871482 , 0.6618301441230066 )
( 0.24899598393574296 , 0.6482366721742779 )
( 0.25301204819277107 , 0.6341842249893627 )
( 0.2570281124497992 , 0.6196838902057831 )
( 0.2610441767068273 , 0.6047467607734937 )
( 0.2650602409638554 , 0.5893839421012659 )
( 0.2690763052208835 , 0.5736065583959612 )
( 0.2730923694779116 , 0.5574257582597434 )
( 0.2771084337349397 , 0.5408527196055384 )
( 0.28112449799196787 , 0.5238986539535329 )
( 0.285140562248996 , 0.5065748101582369 )
( 0.2891566265060241 , 0.4888924776176805 )
( 0.2931726907630522 , 0.47086298900981366 )
( 0.2971887550200803 , 0.452497722594512 )
( 0.3012048192771084 , 0.43380810411533277 )
( 0.3052208835341365 , 0.41480560833899527 )
( 0.3092369477911646 , 0.3955017602554968 )
( 0.3132530120481927 , 0.3759081359675488 )
( 0.31726907630522083 , 0.356036363290952 )
( 0.321285140562249 , 0.3358981220860324 )
( 0.3253012048192771 , 0.3155051443398777 )
( 0.3293172690763052 , 0.29486921401373933 )
( 0.3333333333333333 , 0.2740021666700731 )
( 0.3373493975903614 , 0.25291588889104577 )
( 0.34136546184738953 , 0.23162231750150802 )
( 0.34538152610441764 , 0.21013343860409345 )
( 0.34939759036144574 , 0.18846128643565596 )
( 0.35341365461847385 , 0.16661794205126335 )
( 0.35742971887550196 , 0.14461553184557716 )
( 0.36144578313253006 , 0.12246622591166613 )
