Prior input/output:
( 0.0 , 1.0 )
( 0.00401606425703 , 1.0 )
( 0.00803212851406 , 1.0 )
( 0.0120481927711 , 1.0 )
( 0.0160642570281 , 1.0 )
( 0.0200803212851 , 1.0 )
( 0.0240963855422 , 1.0 )
( 0.0281124497992 , 1.0 )
( 0.0321285140562 , 1.0 )
( 0.0361445783133 , 1.0 )
( 0.0401606425703 , 1.0 )
( 0.0441767068273 , 1.0 )
( 0.0481927710843 , 1.0 )
( 0.0522088353414 , 1.0 )
( 0.0562248995984 , 1.0 )
( 0.0602409638554 , 1.0 )
( 0.0642570281124 , 1.0 )
( 0.0682730923695 , 1.0 )
( 0.0722891566265 , 1.0 )
( 0.0763052208835 , 1.0 )
( 0.0803212851406 , 1.0 )
( 0.0843373493976 , 1.0 )
( 0.0883534136546 , 1.0 )
( 0.0923694779116 , 1.0 )
( 0.0963855421687 , 1.0 )
( 0.100401606426 , 1.0 )
( 0.104417670683 , 1.0 )
( 0.10843373494 , 1.0 )
( 0.112449799197 , 1.0 )
( 0.116465863454 , 1.0 )
( 0.120481927711 , 1.0 )
( 0.124497991968 , 1.0 )
( 0.128514056225 , 1.0 )
( 0.132530120482 , 1.0 )
( 0.136546184739 , 1.0 )
( 0.140562248996 , 1.0 )
( 0.144578313253 , 1.0 )
( 0.14859437751 , 1.0 )
( 0.152610441767 , 1.0 )
( 0.156626506024 , 1.0 )
( 0.160642570281 , 1.0 )
( 0.164658634538 , 1.0 )
( 0.168674698795 , 1.0 )
( 0.172690763052 , 1.0 )
( 0.176706827309 , 1.0 )
( 0.180722891566 , 1.0 )
( 0.184738955823 , 1.0 )
( 0.18875502008 , 1.0 )
( 0.192771084337 , 1.0 )
( 0.196787148594 , 1.0 )
( 0.200803212851 , 1.0 )
( 0.204819277108 , 1.0 )
( 0.208835341365 , 1.0 )
( 0.212851405622 , 1.0 )
( 0.21686746988 , 1.0 )
( 0.220883534137 , 1.0 )
( 0.224899598394 , 1.0 )
( 0.228915662651 , 1.0 )
( 0.232931726908 , 1.0 )
( 0.236947791165 , 1.0 )
( 0.240963855422 , 1.0 )
( 0.244979919679 , 1.0 )
( 0.248995983936 , 1.0 )
( 0.253012048193 , 1.0 )
( 0.25702811245 , 1.0 )
( 0.261044176707 , 1.0 )
( 0.265060240964 , 1.0 )
( 0.269076305221 , 1.0 )
( 0.273092369478 , 1.0 )
( 0.277108433735 , 1.0 )
( 0.281124497992 , 1.0 )
( 0.285140562249 , 1.0 )
( 0.289156626506 , 1.0 )
( 0.293172690763 , 1.0 )
( 0.29718875502 , 1.0 )
( 0.301204819277 , 1.0 )
( 0.305220883534 , 1.0 )
( 0.309236947791 , 1.0 )
( 0.313253012048 , 1.0 )
( 0.317269076305 , 1.0 )
( 0.321285140562 , 1.0 )
( 0.325301204819 , 1.0 )
( 0.329317269076 , 1.0 )
( 0.333333333333 , 1.0 )
( 0.33734939759 , 1.0 )
( 0.341365461847 , 1.0 )
( 0.345381526104 , 1.0 )
( 0.349397590361 , 1.0 )
( 0.353413654618 , 1.0 )
( 0.357429718876 , 1.0 )
( 0.361445783133 , 1.0 )
( 0.36546184739 , 1.0 )
( 0.369477911647 , 1.0 )
( 0.373493975904 , 1.0 )
( 0.377510040161 , 1.0 )
( 0.381526104418 , 1.0 )
( 0.385542168675 , 1.0 )
( 0.389558232932 , 1.0 )
( 0.393574297189 , 1.0 )
( 0.397590361446 , 1.0 )
( 0.401606425703 , 1.0 )
( 0.40562248996 , 1.0 )
( 0.409638554217 , 1.0 )
( 0.413654618474 , 1.0 )
( 0.417670682731 , 1.0 )
( 0.421686746988 , 1.0 )
( 0.425702811245 , 1.0 )
( 0.429718875502 , 1.0 )
( 0.433734939759 , 1.0 )
( 0.437751004016 , 1.0 )
( 0.441767068273 , 1.0 )
( 0.44578313253 , 1.0 )
( 0.449799196787 , 1.0 )
( 0.453815261044 , 1.0 )
( 0.457831325301 , 1.0 )
( 0.461847389558 , 1.0 )
( 0.465863453815 , 1.0 )
( 0.469879518072 , 1.0 )
( 0.473895582329 , 1.0 )
( 0.477911646586 , 1.0 )
( 0.481927710843 , 1.0 )
( 0.4859437751 , 1.0 )
( 0.489959839357 , 1.0 )
( 0.493975903614 , 1.0 )
( 0.497991967871 , 1.0 )
( 0.502008032129 , 1.0 )
( 0.506024096386 , 1.0 )
( 0.510040160643 , 1.0 )
( 0.5140562249 , 1.0 )
( 0.518072289157 , 1.0 )
( 0.522088353414 , 1.0 )
( 0.526104417671 , 1.0 )
( 0.530120481928 , 1.0 )
( 0.534136546185 , 1.0 )
( 0.538152610442 , 1.0 )
( 0.542168674699 , 1.0 )
( 0.546184738956 , 1.0 )
( 0.550200803213 , 1.0 )
( 0.55421686747 , 1.0 )
( 0.558232931727 , 1.0 )
( 0.562248995984 , 1.0 )
( 0.566265060241 , 1.0 )
