Gauss density values:
( -6.0 , 6.07588284982e-09 )
( -5.95180722892 , 8.1037154874e-09 )
( -5.90361445783 , 1.07832658094e-08 )
( -5.85542168675 , 1.43155411226e-08 )
( -5.80722891566 , 1.89607957198e-08 )
( -5.75903614458 , 2.50551312397e-08 )
( -5.71084337349 , 3.30314879045e-08 )
( -5.66265060241 , 4.34461126826e-08 )
( -5.61445783133 , 5.70118381936e-08 )
( -5.56626506024 , 7.4639804949e-08 )
( -5.51807228916 , 9.74916184373e-08 )
( -5.46987951807 , 1.2704436201e-07 )
( -5.42168674699 , 1.65171398331e-07 )
( -5.3734939759 , 2.14242499609e-07 )
( -5.32530120482 , 2.77247564782e-07 )
( -5.27710843373 , 3.57949026807e-07 )
( -5.22891566265 , 4.61069043234e-07 )
( -5.18072289157 , 5.92518718042e-07 )
( -5.13253012048 , 7.59677943498e-07 )
( -5.0843373494 , 9.71735999875e-07 )
( -5.03614457831 , 1.24010483193e-06 )
( -4.98795180723 , 1.57891895812e-06 )
( -4.93975903614 , 2.00563828589e-06 )
( -4.89156626506 , 2.54177272805e-06 )
( -4.84337349398 , 3.21375046306e-06 )
( -4.79518072289 , 4.05395497707e-06 )
( -4.74698795181 , 5.10195968282e-06 )
( -4.69879518072 , 6.40599294303e-06 )
( -4.65060240964 , 8.0246707368e-06 )
( -4.60240963855 , 1.00290389941e-05 )
( -4.55421686747 , 1.25049727698e-05 )
( -4.50602409639 , 1.55559849085e-05 )
( -4.4578313253 , 1.93065026173e-05 )
( -4.40963855422 , 2.390567636e-05 )
( -4.36144578313 , 2.95317916218e-05 )
( -4.31325301205 , 3.63973602638e-05 )
( -4.26506024096 , 4.47549742619e-05 )
( -4.21686746988 , 5.49040104257e-05 )
( -4.1686746988 , 6.71982800409e-05 )
( -4.12048192771 , 8.20547220254e-05 )
( -4.07228915663 , 9.99632418757e-05 )
( -4.02409638554 , 0.000121497801102 )
( -3.97590361446 , 0.000147328862663 )
( -3.92771084337 , 0.000178237296734 )
( -3.87951807229 , 0.000215129847599 )
( -3.8313253012 , 0.000259056256048 )
( -3.78313253012 , 0.000311228121996 )
( -3.73493975904 , 0.000373039578631 )
( -3.68674698795 , 0.00044608983173 )
