
Samples for s = 0.1:
( 0 , 0.0 )
( 1 , -0.0358862274483 )
( 2 , -0.188407528317 )
( 3 , -0.251576512812 )
( 4 , -0.477783006191 )
( 5 , -0.268172229696 )
( 6 , -0.256407959544 )
( 7 , -0.304798750372 )
( 8 , -0.378960795596 )
( 9 , -0.264007817249 )
( 10 , -0.140420082728 )
( 11 , -0.166070238144 )
( 12 , -0.152098156817 )
( 13 , -0.274665088665 )
( 14 , -0.408110390919 )
( 15 , -0.219986629183 )
( 16 , -0.0879671048072 )
( 17 , -0.0756512549777 )
( 18 , -0.124439632256 )
( 19 , -0.155938094032 )
( 20 , -0.230560454958 )
( 21 , -0.300509500996 )
( 22 , -0.300509500996 )
( 23 , -0.249083773597 )
( 24 , -0.406316180491 )
( 25 , -0.624702331436 )
( 26 , -0.590638145855 )
( 27 , -0.664833225889 )
( 28 , -0.615798348266 )
( 29 , -0.647308548921 )
( 30 , -0.638604527278 )
( 31 , -0.513046921277 )
( 32 , -0.529518229304 )
( 33 , -0.459862481472 )
( 34 , -0.438296090068 )
( 35 , -0.441618907086 )
( 36 , -0.376668378174 )
( 37 , -0.346708471925 )
( 38 , -0.445178341192 )
( 39 , -0.522748374427 )
( 40 , -0.497478791892 )
( 41 , -0.712131261626 )
( 42 , -0.708507581001 )
( 43 , -0.454628374371 )
( 44 , -0.37125304514 )
( 45 , -0.338048860733 )
( 46 , -0.330431959397 )
( 47 , -0.330431959397 )
( 48 , -0.310040413027 )
( 49 , -0.340953415344 )
( 50 , -0.619911163765 )
( 51 , -0.47936370055 )
( 52 , -0.533004424707 )
( 53 , -0.631834954445 )
( 54 , -0.586773537074 )
( 55 , -0.579986922028 )
( 56 , -0.539704647373 )
( 57 , -0.759108054021 )
( 58 , -0.740258648001 )
( 59 , -0.699977312845 )
( 60 , -0.69129017956 )
( 61 , -0.575225097008 )
( 62 , -0.60387889903 )
( 63 , -0.592717470131 )
( 64 , -0.55930533621 )
( 65 , -0.603929104927 )
( 66 , -0.647773666739 )
( 67 , -0.524182297217 )
( 68 , -0.652163815398 )
( 69 , -0.697880256697 )
( 70 , -0.686470616085 )
( 71 , -0.763012781788 )
( 72 , -0.81295965825 )
( 73 , -0.81295965825 )
( 74 , -0.896156244292 )
( 75 , -0.939095090564 )
( 76 , -0.857565303578 )
( 77 , -0.926939901408 )
( 78 , -0.69556282535 )
( 79 , -0.672699184925 )
( 80 , -0.762219842003 )
( 81 , -0.965884578778 )
( 82 , -0.79363638045 )
( 83 , -0.721408724376 )
( 84 , -0.751909589347 )
( 85 , -0.877740057144 )
( 86 , -0.933951000213 )
( 87 , -0.964530199969 )
( 88 , -0.958084122186 )
( 89 , -0.831616069685 )
( 90 , -0.857704194227 )
( 91 , -0.804481657652 )
( 92 , -0.748654706758 )
( 93 , -0.710858830471 )
( 94 , -0.573474740346 )
( 95 , -0.716301958838 )
( 96 , -0.757074261664 )
( 97 , -0.862758191456 )
( 98 , -0.893342537647 )
( 99 , -0.977647357845 )
( 100 , -0.896457673111 )
( 101 , -0.679139965324 )
( 102 , -0.767040330172 )
( 103 , -0.588926234903 )
( 104 , -0.741531288217 )
( 105 , -0.682640381873 )
( 106 , -0.735052717323 )
( 107 , -0.722635680673 )
( 108 , -0.933012189749 )
( 109 , -0.931206465321 )
( 110 , -0.787124257186 )
( 111 , -0.76747890791 )
( 112 , -0.690280780347 )
( 113 , -0.767680993763 )
( 114 , -0.808303616607 )
( 115 , -0.845040973746 )
( 116 , -0.979818712989 )
( 117 , -0.971801577664 )
( 118 , -0.91642671077 )
( 119 , -0.961965309826 )
( 120 , -0.787788211205 )
( 121 , -0.563640017557 )
( 122 , -0.563640017557 )
( 123 , -0.703499253676 )
( 124 , -0.777682177547 )
( 125 , -0.784947049229 )
( 126 , -0.869735733506 )
( 127 , -0.874259783576 )
( 128 , -0.90164293387 )
( 129 , -0.849544825381 )
( 130 , -0.818913535154 )
( 131 , -0.769153596683 )
( 132 , -0.6815822624 )
( 133 , -0.660610364285 )
( 134 , -0.461660823529 )
( 135 , -0.50145148025 )
( 136 , -0.52063786016 )
( 137 , -0.675713636291 )
( 138 , -0.675713636291 )
( 139 , -0.672616214904 )
( 140 , -0.672616214904 )
( 141 , -0.64343366454 )
( 142 , -0.521741081843 )
( 143 , -0.499695167871 )
( 144 , -0.349737969573 )
( 145 , -0.316237562883 )
( 146 , -0.367213959096 )
( 147 , -0.41524909202 )
( 148 , -0.401250691267 )
( 149 , -0.381164647498 )
( 150 , -0.410083293984 )
( 151 , -0.353445366112 )
( 152 , -0.397608294263 )
( 153 , -0.24528295169 )
( 154 , -0.22596878048 )
( 155 , -0.114599885983 )
( 156 , -0.0751821163081 )
( 157 , 0.105353969321 )
( 158 , 0.192161820594 )
( 159 , 0.225050498041 )
( 160 , 0.171123201286 )
( 161 , 0.00795222558938 )
( 162 , 0.0570508048532 )
( 163 , 0.120369938897 )
( 164 , 0.159956664643 )
( 165 , 0.204479431065 )
( 166 , 0.458511161539 )
( 167 , 0.348446297685 )
( 168 , 0.468290720316 )
( 169 , 0.37329857771 )
( 170 , 0.220968213608 )
( 171 , 0.0867716673081 )
( 172 , 0.129100456253 )
( 173 , 0.0889671666504 )
( 174 , 0.169573313407 )
( 175 , 0.0214449604887 )
( 176 , -0.16477113625 )
( 177 , -0.024468589818 )
( 178 , 0.177690144879 )
( 179 , 0.172781508563 )
( 180 , 0.350839827732 )
( 181 , 0.487744280054 )
( 182 , 0.443079656712 )
( 183 , 0.444410635717 )
( 184 , 0.488997536653 )
( 185 , 0.608045890898 )
( 186 , 0.621878989027 )
( 187 , 0.540121720259 )
( 188 , 0.496183972026 )
( 189 , 0.474052696731 )
( 190 , 0.565287780498 )
( 191 , 0.550804898388 )
( 192 , 0.647591375013 )
( 193 , 0.610362739986 )
( 194 , 0.532396062858 )
( 195 , 0.618330805558 )
( 196 , 0.618330805558 )
