Prior mean:
( 0.0 , 0.0 )
( 0.00401606425703 , 0.0 )
( 0.00803212851406 , 0.0 )
( 0.0120481927711 , 0.0 )
( 0.0160642570281 , 0.0 )
( 0.0200803212851 , 0.0 )
( 0.0240963855422 , 0.0 )
( 0.0281124497992 , 0.0 )
( 0.0321285140562 , 0.0 )
( 0.0361445783133 , 0.0 )
( 0.0401606425703 , 0.0 )
( 0.0441767068273 , 0.0 )
( 0.0481927710843 , 0.0 )
( 0.0522088353414 , 0.0 )
( 0.0562248995984 , 0.0 )
( 0.0602409638554 , 0.0 )
( 0.0642570281124 , 0.0 )
( 0.0682730923695 , 0.0 )
( 0.0722891566265 , 0.0 )
( 0.0763052208835 , 0.0 )
( 0.0803212851406 , 0.0 )
( 0.0843373493976 , 0.0 )
( 0.0883534136546 , 0.0 )
( 0.0923694779116 , 0.0 )
( 0.0963855421687 , 0.0 )
( 0.100401606426 , 0.0 )
( 0.104417670683 , 0.0 )
( 0.10843373494 , 0.0 )
( 0.112449799197 , 0.0 )
( 0.116465863454 , 0.0 )
( 0.120481927711 , 0.0 )
( 0.124497991968 , 0.0 )
( 0.128514056225 , 0.0 )
( 0.132530120482 , 0.0 )
( 0.136546184739 , 0.0 )
( 0.140562248996 , 0.0 )
( 0.144578313253 , 0.0 )
( 0.14859437751 , 0.0 )
( 0.152610441767 , 0.0 )
( 0.156626506024 , 0.0 )
( 0.160642570281 , 0.0 )
( 0.164658634538 , 0.0 )
( 0.168674698795 , 0.0 )
( 0.172690763052 , 0.0 )
( 0.176706827309 , 0.0 )
( 0.180722891566 , 0.0 )
( 0.184738955823 , 0.0 )
( 0.18875502008 , 0.0 )
( 0.192771084337 , 0.0 )
( 0.196787148594 , 0.0 )
( 0.200803212851 , 0.0 )
( 0.204819277108 , 0.0 )
( 0.208835341365 , 0.0 )
( 0.212851405622 , 0.0 )
( 0.21686746988 , 0.0 )
( 0.220883534137 , 0.0 )
( 0.224899598394 , 0.0 )
( 0.228915662651 , 0.0 )
( 0.232931726908 , 0.0 )
( 0.236947791165 , 0.0 )
( 0.240963855422 , 0.0 )
( 0.244979919679 , 0.0 )
( 0.248995983936 , 0.0 )
( 0.253012048193 , 0.0 )
( 0.25702811245 , 0.0 )
( 0.261044176707 , 0.0 )
( 0.265060240964 , 0.0 )
( 0.269076305221 , 0.0 )
( 0.273092369478 , 0.0 )
( 0.277108433735 , 0.0 )
( 0.281124497992 , 0.0 )
( 0.285140562249 , 0.0 )
( 0.289156626506 , 0.0 )
( 0.293172690763 , 0.0 )
( 0.29718875502 , 0.0 )
( 0.301204819277 , 0.0 )
( 0.305220883534 , 0.0 )
( 0.309236947791 , 0.0 )
( 0.313253012048 , 0.0 )
( 0.317269076305 , 0.0 )
( 0.321285140562 , 0.0 )
( 0.325301204819 , 0.0 )
( 0.329317269076 , 0.0 )
( 0.333333333333 , 0.0 )
( 0.33734939759 , 0.0 )
( 0.341365461847 , 0.0 )
( 0.345381526104 , 0.0 )
( 0.349397590361 , 0.0 )
( 0.353413654618 , 0.0 )
( 0.357429718876 , 0.0 )
( 0.361445783133 , 0.0 )
( 0.36546184739 , 0.0 )
( 0.369477911647 , 0.0 )
( 0.373493975904 , 0.0 )
( 0.377510040161 , 0.0 )
( 0.381526104418 , 0.0 )
( 0.385542168675 , 0.0 )
( 0.389558232932 , 0.0 )
( 0.393574297189 , 0.0 )
( 0.397590361446 , 0.0 )
( 0.401606425703 , 0.0 )
( 0.40562248996 , 0.0 )
( 0.409638554217 , 0.0 )
( 0.413654618474 , 0.0 )
( 0.417670682731 , 0.0 )
( 0.421686746988 , 0.0 )
( 0.425702811245 , 0.0 )
( 0.429718875502 , 0.0 )
( 0.433734939759 , 0.0 )
( 0.437751004016 , 0.0 )
( 0.441767068273 , 0.0 )
( 0.44578313253 , 0.0 )
( 0.449799196787 , 0.0 )
( 0.453815261044 , 0.0 )
( 0.457831325301 , 0.0 )
( 0.461847389558 , 0.0 )
( 0.465863453815 , 0.0 )
( 0.469879518072 , 0.0 )
( 0.473895582329 , 0.0 )
( 0.477911646586 , 0.0 )
( 0.481927710843 , 0.0 )
( 0.4859437751 , 0.0 )
( 0.489959839357 , 0.0 )
( 0.493975903614 , 0.0 )
( 0.497991967871 , 0.0 )
( 0.502008032129 , 0.0 )
( 0.506024096386 , 0.0 )
( 0.510040160643 , 0.0 )
( 0.5140562249 , 0.0 )
( 0.518072289157 , 0.0 )
