Matern 0.25:
( -2.5 , 5.504735201255525e-07 )
( -2.4748743718592965 , 6.489185517177873e-07 )
( -2.449748743718593 , 7.648988030455945e-07 )
( -2.4246231155778895 , 9.015234499184118e-07 )
( -2.399497487437186 , 1.0624500684566405e-06 )
( -2.3743718592964824 , 1.251980773586694e-06 )
( -2.349246231155779 , 1.4751750905587134e-06 )
( -2.3241206030150754 , 1.7379824469880677e-06 )
( -2.298994974874372 , 2.04739766602494e-06 )
( -2.2738693467336684 , 2.4116434174834815e-06 )
( -2.248743718592965 , 2.8403842568968398e-06 )
( -2.2236180904522613 , 3.344977668525307e-06 )
( -2.198492462311558 , 3.9387684459403735e-06 )
( -2.1733668341708543 , 4.637433814537729e-06 )
( -2.148241206030151 , 5.4593879492579884e-06 )
( -2.1231155778894473 , 6.426255996967815e-06 )
( -2.0979899497487438 , 7.56342941003606e-06 )
( -2.0728643216080402 , 8.900716374596423e-06 )
( -2.0477386934673367 , 1.047310341889428e-05 )
( -2.022613065326633 , 1.2321646966070379e-05 )
( -1.9974874371859297 , 1.449451671189837e-05 )
( -1.9723618090452262 , 1.7048216330775715e-05 )
( -1.9472361809045227 , 2.0049011222665965e-05 )
( -1.9221105527638191 , 2.35745979018044e-05 )
( -1.8969849246231156 , 2.771605530072731e-05 )
( -1.8718592964824121 , 3.2580124842227223e-05 )
( -1.8467336683417086 , 3.829187375672347e-05 )
( -1.821608040201005 , 4.4997804953132845e-05 )
( -1.7964824120603016 , 5.286948697046535e-05 )
( -1.771356783919598 , 6.210778935383247e-05 )
( -1.7462311557788945 , 7.294782245031759e-05 )
( -1.721105527638191 , 8.56646963779309e-05 )
( -1.6959798994974875 , 0.00010058023209197372 )
( -1.670854271356784 , 0.00011807077840561424 )
( -1.6457286432160805 , 0.0001385763129084555 )
( -1.620603015075377 , 0.00016261103241119293 )
( -1.5954773869346734 , 0.0001907756703232471 )
( -1.57035175879397 , 0.00022377181479968928 )
( -1.5452261306532664 , 0.00026241854319349094 )
( -1.5201005025125627 , 0.0003076717360062097 )
( -1.4949748743718592 , 0.0003606464879025759 )
( -1.4698492462311559 , 0.00042264309527278223 )
( -1.4447236180904524 , 0.0004951771701943255 )
( -1.4195979899497488 , 0.0005800145104378438 )
( -1.394472361809045 , 0.0006792114454182755 )
( -1.3693467336683416 , 0.0007951614798084241 )
( -1.3442211055276383 , 0.0009306491710392548 )
( -1.3190954773869348 , 0.0010889123052549602 )
( -1.2939698492462313 , 0.001273713579593204 )
( -1.2688442211055275 , 0.0014894231579700757 )
( -1.2437185929648242 , 0.001741113643771257 )
( -1.2185929648241207 , 0.002034669206657939 )
( -1.193467336683417 , 0.0023769108124036733 )
( -1.1683417085427137 , 0.002775739734087523 )
( -1.14321608040201 , 0.003240301769156599 )
( -1.1180904522613064 , 0.003781174847923489 )
( -1.0929648241206031 , 0.004410582991733936 )
( -1.0678391959798994 , 0.00514263985830605 )
( -1.042713567839196 , 0.005993625390254754 )
( -1.0175879396984924 , 0.00698229935019114 )
( -0.9924623115577889 , 0.008130255767719382 )
( -0.9673366834170856 , 0.009462322520803975 )
( -0.9422110552763818 , 0.011007010400566229 )
( -0.9170854271356785 , 0.01279701603063093 )
( -0.8919597989949748 , 0.014869782885355457 )
( -0.8668341708542713 , 0.0172681243182268 )
( -0.841708542713568 , 0.02004091189855947 )
( -0.8165829145728642 , 0.023243831366881004 )
( -0.791457286432161 , 0.026940207036772475 )
( -0.7663316582914572 , 0.031201893340953447 )
( -0.7412060301507537 , 0.03611022924948007 )
( -0.7160804020100504 , 0.04175704723565898 )
( -0.6909547738693467 , 0.04824572302642713 )
( -0.6658291457286434 , 0.055692245167726584 )
( -0.6407035175879396 , 0.06422627398633572 )
( -0.6155778894472361 , 0.07399214724530818 )
( -0.5904522613065328 , 0.08514977393405596 )
( -0.5653266331658291 , 0.09787533729197867 )
( -0.5402010050251254 , 0.11236170220371114 )
( -0.5150753768844221 , 0.1288183891232526 )
( -0.4899497487437183 , 0.1474709349524443 )
( -0.46482412060301526 , 0.16855940868098887 )
( -0.43969849246231174 , 0.19233578345927096 )
( -0.4145728643216078 , 0.21905978388337413 )
( -0.3894472361809047 , 0.24899272364302275 )
( -0.36432160804020075 , 0.2823887194285797 )
( -0.3391959798994977 , 0.31948250611415135 )
( -0.3140703517587937 , 0.3604728783771066 )
( -0.2889447236180902 , 0.4055005360734882 )
( -0.26381909547738713 , 0.4546188038421274 )
( -0.23869346733668317 , 0.5077553160788616 )
( -0.2135678391959801 , 0.564662290135144 )
( -0.1884422110552766 , 0.624852433238294 )
( -0.16331658291457263 , 0.687516817656235 )
( -0.13819095477386956 , 0.7514201840992131 )
( -0.1130653266331656 , 0.8147680587709607 )
( -0.08793969849246253 , 0.8750387503940884 )
( -0.06281407035175857 , 0.928771675807026 )
( -0.03768844221105505 , 0.9713014804841248 )
( -0.01256281407035198 , 0.9964249934337176 )
( 0.012562814070351536 , 0.9964249934337178 )
( 0.03768844221105505 , 0.9713014804841248 )
( 0.06281407035175857 , 0.928771675807026 )
( 0.08793969849246253 , 0.8750387503940884 )
( 0.11306532663316604 , 0.8147680587709596 )
( 0.1381909547738691 , 0.7514201840992145 )
( 0.16331658291457263 , 0.687516817656235 )
( 0.1884422110552766 , 0.624852433238294 )
( 0.2135678391959801 , 0.564662290135144 )
( 0.23869346733668362 , 0.5077553160788606 )
( 0.26381909547738713 , 0.4546188038421274 )
( 0.2889447236180902 , 0.4055005360734882 )
( 0.3140703517587937 , 0.3604728783771066 )
( 0.3391959798994977 , 0.31948250611415135 )
( 0.3643216080402012 , 0.28238871942857907 )
( 0.3894472361809047 , 0.24899272364302275 )
( 0.4145728643216078 , 0.21905978388337413 )
( 0.43969849246231174 , 0.19233578345927096 )
( 0.46482412060301526 , 0.16855940868098887 )
( 0.48994974874371877 , 0.14747093495244396 )
( 0.5150753768844223 , 0.12881838912325244 )
( 0.5402010050251254 , 0.11236170220371114 )
( 0.5653266331658289 , 0.09787533729197878 )
( 0.5904522613065328 , 0.08514977393405596 )
( 0.6155778894472363 , 0.07399214724530813 )
( 0.6407035175879399 , 0.06422627398633562 )
( 0.6658291457286429 , 0.05569224516772676 )
( 0.6909547738693469 , 0.04824572302642706 )
( 0.7160804020100504 , 0.04175704723565898 )
( 0.7412060301507539 , 0.03611022924948002 )
( 0.7663316582914574 , 0.031201893340953395 )
( 0.7914572864321605 , 0.026940207036772534 )
( 0.816582914572864 , 0.023243831366881046 )
( 0.841708542713568 , 0.02004091189855947 )
( 0.8668341708542715 , 0.017268124318226774 )
( 0.891959798994975 , 0.014869782885355436 )
( 0.9170854271356781 , 0.012797016030630963 )
( 0.942211055276382 , 0.011007010400566212 )
( 0.9673366834170856 , 0.009462322520803975 )
( 0.9924623115577891 , 0.008130255767719372 )
( 1.0175879396984926 , 0.006982299350191134 )
( 1.0427135678391957 , 0.005993625390254771 )
( 1.0678391959798992 , 0.005142639858306057 )
( 1.0929648241206031 , 0.004410582991733936 )
( 1.1180904522613067 , 0.003781174847923485 )
( 1.1432160804020102 , 0.0032403017691565953 )
( 1.1683417085427132 , 0.002775739734087526 )
( 1.1934673366834172 , 0.00237691081240367 )
( 1.2185929648241207 , 0.002034669206657939 )
( 1.2437185929648242 , 0.001741113643771257 )
( 1.2688442211055277 , 0.0014894231579700738 )
( 1.2939698492462313 , 0.001273713579593204 )
( 1.3190954773869343 , 0.0010889123052549637 )
( 1.3442211055276383 , 0.0009306491710392548 )
( 1.3693467336683418 , 0.0007951614798084241 )
( 1.3944723618090453 , 0.0006792114454182745 )
( 1.4195979899497493 , 0.0005800145104378427 )
( 1.4447236180904524 , 0.0004951771701943255 )
( 1.4698492462311559 , 0.00042264309527278223 )
( 1.4949748743718594 , 0.00036064648790257533 )
( 1.5201005025125633 , 0.0003076717360062081 )
( 1.5452261306532664 , 0.00026241854319349094 )
( 1.5703517587939695 , 0.00022377181479968974 )
( 1.5954773869346734 , 0.0001907756703232471 )
( 1.6206030150753765 , 0.00016261103241119342 )
( 1.6457286432160805 , 0.0001385763129084555 )
