nu = 1.0
( 2 , 1.3e-01 )
( 4 , 1.0e-02 )
( 8 , 1.9e-03 )
( 16 , 5.1e-04 )
( 32 , 1.2e-04 )
( 64 , 3.3e-05 )
( 128 , 6.2e-06 )
( 256 , 1.6e-06 )
( 512 , 7.1e-07 )
( 1024 , 3.4e-08 )
( 2048 , 2.3e-09 )

nu = 2.0
( 2 , 1.4e-01 )
( 4 , 6.3e-03 )
( 8 , 4.7e-04 )
( 16 , 4.8e-05 )
( 32 , 6.3e-06 )
( 64 , 6.6e-07 )
( 128 , 9.4e-08 )
( 256 , 1.3e-08 )
( 512 , 1.6e-09 )
( 1024 , 1.4e-10 )
( 2048 , 3.5e-11 )

nu = 3.0
( 2 , 1.5e-01 )
( 4 , 3.4e-03 )
( 8 , 1.5e-04 )
( 16 , 1.1e-05 )
( 32 , 6.5e-07 )
( 64 , 4.6e-08 )
( 128 , 2.8e-09 )
( 256 , 5.1e-09 )
( 512 , 1.8e-08 )
( 1024 , 2.0e-09 )
( 2048 , 2.9e-07 )
