1.5:

Appr. of forward map:
( 2 , 5.8e-01 )
( 4 , 6.1e-02 )
( 8 , 1.4e-02 )
( 16 , 2.1e-02 )
( 32 , 4.5e-04 )
( 64 , 7.9e-05 )
( 128 , 7.4e-05 )
( 256 , 9.5e-06 )
( 512 , 5.0e-06 )
( 1024 , 1.8e-06 )

Appr. of potential:
( 2 , 4.9e-01 )
( 4 , 4.2e-01 )
( 8 , 1.4e-01 )
( 16 , 4.2e-03 )
( 32 , 6.7e-04 )
( 64 , 2.3e-04 )
( 128 , 3.4e-05 )
( 256 , 2.7e-06 )
( 512 , 1.7e-06 )
( 1024 , 4.8e-06 )


3.5:


Appr. of forward map:
( 2 , 3.5e-01 )
( 4 , 1.6e-02 )
( 8 , 1.0e-03 )
( 16 , 6.9e-04 )
( 32 , 3.0e-06 )
( 64 , 2.8e-06 )
( 128 , 4.7e-06 )
( 256 , 1.7e-06 )
( 512 , 3.6e-06 )
( 1024 , 1.8e-06 )

Appr. of potential:
( 2 , 5.9e-01 )
( 4 , 3.6e-01 )
( 8 , 2.4e-02 )
( 16 , 2.1e-04 )
( 32 , 9.6e-06 )
( 64 , 1.1e-06 )
( 128 , 3.1e-06 )
( 256 , 1.6e-06 )
( 512 , 4.2e-07 )
( 1024 , 4.8e-06 )
