Mean vec: 
( 0.0 , 0.0 )
( 0.004016064257028112 , 0.03953242179136396 )
( 0.008032128514056224 , 0.0787474726391224 )
( 0.012048192771084336 , 0.11759651347108502 )
( 0.01606425702811245 , 0.15602841108858456 )
( 0.020080321285140562 , 0.19399045844426155 )
( 0.024096385542168672 , 0.23142908477001356 )
( 0.028112449799196783 , 0.2682904769978336 )
( 0.0321285140562249 , 0.3045211669334549 )
( 0.03614457831325301 , 0.34006862142848604 )
( 0.040160642570281124 , 0.37488187288312247 )
( 0.04417670682730923 , 0.4089122444779605 )
( 0.048192771084337345 , 0.4421142869786081 )
( 0.05220883534136546 , 0.4744474054461989 )
( 0.056224899598393566 , 0.5058779882735962 )
( 0.06024096385542168 , 0.5363781150162481 )
( 0.0642570281124498 , 0.5659238878276369 )
( 0.0682730923694779 , 0.5944946774795881 )
( 0.07228915662650602 , 0.6220726498525551 )
( 0.07630522088353413 , 0.6486424256859777 )
( 0.08032128514056225 , 0.6741908190892332 )
( 0.08433734939759036 , 0.6987066278949214 )
( 0.08835341365461846 , 0.7221804605355828 )
( 0.09236947791164658 , 0.7446045898909119 )
( 0.09638554216867469 , 0.7659728277715772 )
( 0.1004016064257028 , 0.7862804156287098 )
( 0.10441767068273092 , 0.8055239283035576 )
( 0.10843373493975902 , 0.8237011884519916 )
( 0.11244979919678713 , 0.8408111898353354 )
( 0.11646586345381525 , 0.856854028075702 )
( 0.12048192771084336 , 0.8718308377660833 )
( 0.12449799196787148 , 0.885743735040819 )
( 0.1285140562248996 , 0.8985957648785075 )
( 0.1325301204819277 , 0.9103908525406155 )
( 0.1365461847389558 , 0.9211337586447712 )
( 0.14056224899598393 , 0.9308300374569853 )
( 0.14457831325301204 , 0.9394859980454839 )
( 0.14859437751004015 , 0.9471086679926657 )
( 0.15261044176706826 , 0.9537057594070006 )
( 0.15662650602409636 , 0.9592856370082359 )
( 0.1606425702811245 , 0.9638572880878655 )
( 0.1646586345381526 , 0.9674302941782571 )
( 0.1686746987951807 , 0.9700148042715568 )
( 0.17269076305220882 , 0.9716215094636027 )
( 0.17670682730923692 , 0.9722616188957431 )
( 0.18072289156626503 , 0.9719468368969615 )
( 0.18473895582329317 , 0.9706893412245563 )
( 0.18875502008032127 , 0.9685017623237968 )
( 0.19277108433734938 , 0.9653971635258927 )
( 0.1967871485943775 , 0.9613890221178281 )
( 0.2008032128514056 , 0.9564912112203103 )
( 0.20481927710843373 , 0.950717982413579 )
( 0.20883534136546184 , 0.9440839490663393 )
( 0.21285140562248994 , 0.9366040703084195 )
( 0.21686746987951805 , 0.9282936356149207 )
( 0.22088353413654616 , 0.9191682499540832 )
( 0.22489959839357426 , 0.9092438194623753 )
( 0.2289156626506024 , 0.8985365376141772 )
( 0.2329317269076305 , 0.8870628718516684 )
( 0.2369477911646586 , 0.8748395506485451 )
( 0.24096385542168672 , 0.8618835509739426 )
( 0.24497991967871482 , 0.8482120861353337 )
( 0.24899598393574296 , 0.8338425939730882 )
( 0.25301204819277107 , 0.8187927253866292 )
( 0.2570281124497992 , 0.803080333166065 )
( 0.2610441767068273 , 0.7867234611138656 )
( 0.2650602409638554 , 0.7697403334301498 )
( 0.2690763052208835 , 0.7521493443536258 )
( 0.2730923694779116 , 0.7339690480278591 )
( 0.2771084337349397 , 0.7152181485872973 )
( 0.28112449799196787 , 0.6959154904398588 )
( 0.285140562248996 , 0.6760800487331267 )
( 0.2891566265060241 , 0.6557309199905603 )
( 0.2931726907630522 , 0.6348873128978312 )
( 0.2971887550200803 , 0.6135685392341941 )
( 0.3012048192771084 , 0.5917940049261006 )
( 0.3052208835341365 , 0.5695832012159769 )
( 0.3092369477911646 , 0.546955695929995 )
( 0.3132530120481927 , 0.5239311248328704 )
( 0.31726907630522083 , 0.5005291830583474 )
( 0.321285140562249 , 0.476769616599114 )
( 0.3253012048192771 , 0.45267221384801815 )
( 0.3293172690763052 , 0.4282567971759761 )
( 0.3333333333333333 , 0.40354321453187936 )
( 0.3373493975903614 , 0.37855133105682626 )
( 0.34136546184738953 , 0.3533010206946017 )
( 0.34538152610441764 , 0.32781215778950923 )
( 0.34939759036144574 , 0.3021046086551564 )
( 0.35341365461847385 , 0.27619822310199993 )
( 0.35742971887550196 , 0.25011282591097483 )
( 0.36144578313253006 , 0.22386820823345488 )
( 0.3654618473895582 , 0.1974841189090739 )
( 0.36947791164658633 , 0.1709802556799218 )
( 0.37349397590361444 , 0.14437625628829664 )
( 0.37751004016064255 , 0.11769168943601471 )
( 0.38152610441767065 , 0.09094604559189179 )
( 0.38554216867469876 , 0.06415872762215713 )
( 0.38955823293172687 , 0.03734904122572402 )
( 0.393574297188755 , 0.010536185149476296 )
( 0.3975903614457831 , -0.016260758841781353 )
( 0.4016064257028112 , -0.04302283626572034 )
( 0.4056224899598393 , -0.06973123052733854 )
( 0.40963855421686746 , -0.09636727385733934 )
( 0.41365461847389556 , -0.12291245862266464 )
( 0.41767068273092367 , -0.14934844905130262 )
( 0.4216867469879518 , -0.17565709341479874 )
( 0.4257028112449799 , -0.20182043672141958 )
( 0.429718875502008 , -0.22782073397971203 )
( 0.4337349397590361 , -0.2536404641012382 )
( 0.4377510040160642 , -0.2792623445177753 )
( 0.4417670682730923 , -0.30466934661043865 )
( 0.4457831325301204 , -0.3298447120519086 )
( 0.4497991967871485 , -0.3547719702017673 )
( 0.4538152610441767 , -0.37943495670035077 )
( 0.4578313253012048 , -0.4038178334633926 )
( 0.4618473895582329 , -0.4279051103135032 )
( 0.465863453815261 , -0.4516816685536469 )
( 0.4698795180722891 , -0.4751327868825683 )
( 0.4738955823293172 , -0.4982441701819482 )
( 0.47791164658634533 , -0.5210019819095635 )
( 0.48192771084337344 , -0.543392881152613 )
( 0.48594377510040154 , -0.5654040659409532 )
( 0.48995983935742965 , -0.5870233254413222 )
( 0.4939759036144578 , -0.6082391057759935 )
( 0.4979919678714859 , -0.6290405998028632 )
( 0.502008032128514 , -0.6494178961231114 )
( 0.5060240963855421 , -0.6693622728720641 )
( 0.5100401606425702 , -0.6888661987516969 )
( 0.5140562248995983 , -0.7079230413052642 )
( 0.5180722891566265 , -0.7265269199782267 )
( 0.5220883534136546 , -0.7446726184148531 )
( 0.5261044176706827 , -0.7623555207169943 )
( 0.5301204819277108 , -0.7795715613458469 )
( 0.5341365461847389 , -0.796317183907945 )
( 0.538152610441767 , -0.8125893062206728 )
( 0.5421686746987951 , -0.8283852900505622 )
( 0.5461847389558232 , -0.8437029144790245 )
( 0.5502008032128514 , -0.8585403521569503 )
( 0.5542168674698794 , -0.8728961479257009 )
( 0.5582329317269076 , -0.886769199404938 )
( 0.5622489959839357 , -0.9001587392453985 )
( 0.5662650602409638 , -0.9130643188080967 )
( 0.570281124497992 , -0.9254857930810658 )
( 0.57429718875502 , -0.9374233066762088 )
( 0.5783132530120482 , -0.9488772807812893 )
( 0.5823293172690762 , -0.9598484009603965 )
( 0.5863453815261044 , -0.9703376057119044 )
( 0.5903614457831324 , -0.9803460757105142 )
( 0.5943775100401606 , -0.9898752236653934 )
( 0.5983935742971886 , -0.9989266847399279 )
( 0.6024096385542168 , -1.007502307482099 )
( 0.606425702811245 , -1.01560414522433 )
( 0.610441767068273 , -1.0232344479131825 )
( 0.6144578313253012 , -1.030395654336644 )
( 0.6184738955823292 , -1.0370903847166915 )
( 0.6224899598393574 , -1.0433214336434276 )
( 0.6265060240963854 , -1.0490917633251513 )
( 0.6305220883534136 , -1.0544044971306903 )
( 0.6345381526104417 , -1.059262913408702 )
( 0.6385542168674698 , -1.0636704395619176 )
( 0.642570281124498 , -1.0676306463617493 )
( 0.646586345381526 , -1.0711472424890758 )
( 0.6506024096385542 , -1.0742240692858331 )
( 0.6546184738955823 , -1.076865095706836 )
( 0.6586345381526104 , -1.079074413457306 )
( 0.6626506024096385 , -1.0808562323094577 )
( 0.6666666666666666 , -1.082214875583901 )
( 0.6706827309236947 , -1.0831547757900637 )
( 0.6746987951807228 , -1.0836804704145209 )
( 0.6787148594377509 , -1.083796597851972 )
( 0.6827309236947791 , -1.0835078934685782 )
( 0.6867469879518072 , -1.0828191857911236 )
( 0.6907630522088353 , -1.0817353928185867 )
( 0.6947791164658634 , -1.080261518444928 )
( 0.6987951807228915 , -1.0784026489913856 )
( 0.7028112449799196 , -1.0761639498412023 )
( 0.7068273092369477 , -1.0735506621699358 )
( 0.7108433734939759 , -1.0705680997701563 )
