Mean vec: 
( 0.0 , 5.684341886080802e-14 )
( 0.004016064257028112 , 0.04033854640911727 )
( 0.008032128514056224 , 0.08028356028788153 )
( 0.012048192771084336 , 0.11978209418350616 )
( 0.01606425702811245 , 0.15877833475337866 )
( 0.020080321285140562 , 0.1972144162701852 )
( 0.024096385542168672 , 0.2350310201304353 )
( 0.028112449799196783 , 0.272167871240498 )
( 0.0321285140562249 , 0.30856417584178075 )
( 0.03614457831325301 , 0.34415902440952095 )
( 0.040160642570281124 , 0.37889177446473354 )
( 0.04417670682730923 , 0.41270242395586365 )
( 0.048192771084337345 , 0.4455319839247238 )
( 0.05220883534136546 , 0.4773228585200968 )
( 0.056224899598393566 , 0.5080192408312882 )
( 0.06024096385542168 , 0.5375675344589297 )
( 0.0642570281124498 , 0.5659168137584913 )
( 0.0682730923694779 , 0.5930193413077234 )
( 0.07228915662650602 , 0.6188311721687683 )
( 0.07630522088353413 , 0.6433128986215593 )
( 0.08032128514056225 , 0.6664306550760273 )
( 0.08433734939759036 , 0.6881578312727186 )
( 0.08835341365461846 , 0.7084781186576379 )
( 0.09236947791164658 , 0.7273847868455618 )
( 0.09638554216867469 , 0.7448778835138796 )
( 0.1004016064257028 , 0.7609628981105061 )
( 0.10441767068273092 , 0.7756499303139321 )
( 0.10843373493975902 , 0.7889530761523531 )
( 0.11244979919678713 , 0.800889939062472 )
( 0.11646586345381525 , 0.8114812218177008 )
( 0.12048192771084336 , 0.8207503745879308 )
( 0.12449799196787148 , 0.8287232837002705 )
( 0.1285140562248996 , 0.8354279907296984 )
( 0.1325301204819277 , 0.8408944345077884 )
( 0.1365461847389558 , 0.8451542104522218 )
( 0.14056224899598393 , 0.8482403427729253 )
( 0.14457831325301204 , 0.85018706579595 )
( 0.14859437751004015 , 0.8510296110444244 )
( 0.15261044176706826 , 0.8508039968132834 )
( 0.15662650602409636 , 0.8495468168241018 )
( 0.1606425702811245 , 0.8472950240157502 )
( 0.1646586345381526 , 0.8440857044977292 )
( 0.1686746987951807 , 0.8399558346653748 )
( 0.17269076305220882 , 0.8349420104947853 )
( 0.17670682730923692 , 0.8290801290762033 )
( 0.18072289156626503 , 0.8224049769698922 )
( 0.18473895582329317 , 0.8149495447586332 )
( 0.18875502008032127 , 0.8067439606522555 )
( 0.19277108433734938 , 0.797815874556818 )
( 0.1967871485943775 , 0.7881913095625919 )
( 0.2008032128514056 , 0.7778950391738988 )
( 0.20481927710843373 , 0.7669508131975533 )
( 0.20883534136546184 , 0.7553815153624157 )
( 0.21285140562248994 , 0.7432092812875055 )
( 0.21686746987951805 , 0.7304555906289636 )
( 0.22088353413654616 , 0.7171413411768981 )
( 0.22489959839357426 , 0.7032869097195942 )
( 0.2289156626506024 , 0.6889122028543113 )
( 0.2329317269076305 , 0.6740366999552805 )
( 0.2369477911646586 , 0.6586794898846335 )
( 0.24096385542168672 , 0.6428593026253395 )
( 0.24497991967871482 , 0.6265945367360075 )
( 0.24899598393574296 , 0.6099032833166973 )
( 0.25301204819277107 , 0.5928033470370622 )
( 0.2570281124497992 , 0.5753122646649729 )
( 0.2610441767068273 , 0.5574473214477109 )
( 0.2650602409638554 , 0.5392255656412033 )
( 0.2690763052208835 , 0.5206638214203849 )
( 0.2730923694779116 , 0.5017787003806973 )
( 0.2771084337349397 , 0.4825866117907083 )
( 0.28112449799196787 , 0.46310377174145856 )
( 0.285140562248996 , 0.443346211315486 )
( 0.2891566265060241 , 0.4233297838752321 )
( 0.2931726907630522 , 0.4030701715630869 )
( 0.2971887550200803 , 0.38258289108671306 )
( 0.3012048192771084 , 0.3618832988604481 )
( 0.3052208835341365 , 0.34098659555499466 )
( 0.3092369477911646 , 0.31990783011085 )
( 0.3132530120481927 , 0.29866190325452635 )
( 0.31726907630522083 , 0.27726357055883 )
( 0.321285140562249 , 0.25572744508241385 )
( 0.3253012048192771 , 0.23406799961000502 )
( 0.3293172690763052 , 0.21229956852857867 )
( 0.3333333333333333 , 0.19043634935511022 )
( 0.3373493975903614 , 0.1684924039377904 )
( 0.34136546184738953 , 0.14648165934656276 )
( 0.34538152610441764 , 0.12441790846813205 )
( 0.34939759036144574 , 0.10231481031658518 )
( 0.35341365461847385 , 0.08018589007079413 )
( 0.35742971887550196 , 0.05804453884746863 )
( 0.36144578313253006 , 0.03590401321494596 )
( 0.3654618473895582 , 0.013777434454368631 )
( 0.36947791164658633 , -0.008322212428652165 )
( 0.37349397590361444 , -0.030382079939244022 )
( 0.37751004016064255 , -0.05238945957643182 )
( 0.38152610441767065 , -0.07433178356211556 )
( 0.38554216867469876 , -0.09619662681942032 )
( 0.38955823293172687 , -0.11797170920632993 )
( 0.393574297188755 , -0.13964489800642355 )
( 0.3975903614457831 , -0.1612042106847582 )
( 0.4016064257028112 , -0.18263781791952738 )
( 0.4056224899598393 , -0.20393404691895967 )
( 0.40963855421686746 , -0.22508138503300756 )
( 0.41365461847389556 , -0.24606848368276246 )
( 0.41767068273092367 , -0.2668841626190215 )
( 0.4216867469879518 , -0.28751741453481827 )
( 0.4257028112449799 , -0.3079574100536604 )
( 0.429718875502008 , -0.32819350312823303 )
( 0.4337349397590361 , -0.34821523687921285 )
( 0.4377510040160642 , -0.368012349917592 )
( 0.4417670682730923 , -0.38757478320033556 )
( 0.4457831325301204 , -0.4068926874731176 )
( 0.4497991967871485 , -0.4259564313806834 )
( 0.4538152610441767 , -0.4447566103166878 )
( 0.4578313253012048 , -0.4632840561351941 )
( 0.4618473895582329 , -0.4815298478489467 )
( 0.465863453815261 , -0.499485323485203 )
( 0.4698795180722891 , -0.5171420933297952 )
( 0.4738955823293172 , -0.5344920548531888 )
( 0.47791164658634533 , -0.5515274097360532 )
( 0.48192771084337344 , -0.5682406835952349 )
( 0.48594377510040154 , -0.5846247493124395 )
( 0.48995983935742965 , -0.6006728554590097 )
( 0.4939759036144578 , -0.6163786625162118 )
( 0.4979919678714859 , -0.6317362927651686 )
( 0.502008032128514 , -0.6467404139144577 )
( 0.5060240963855421 , -0.6613864051444835 )
( 0.5100401606425702 , -0.6756703566095723 )
( 0.5140562248995983 , -0.6895889024036421 )
( 0.5180722891566265 , -0.7031391359341512 )
( 0.5220883534136546 , -0.7163185590337093 )
( 0.5261044176706827 , -0.7291250447353121 )
( 0.5301204819277108 , -0.7415568078386059 )
( 0.5341365461847389 , -0.7536123805582804 )
( 0.538152610441767 , -0.7652905917732511 )
( 0.5421686746987951 , -0.7765905489593479 )
( 0.5461847389558232 , -0.7875116222089957 )
( 0.5502008032128514 , -0.7980534299240105 )
( 0.5542168674698794 , -0.8082158258709597 )
( 0.5582329317269076 , -0.8179988873815489 )
( 0.5622489959839357 , -0.8274029045232254 )
( 0.5662650602409638 , -0.8364283700981332 )
( 0.570281124497992 , -0.8450759703692654 )
( 0.57429718875502 , -0.8533465764184314 )
( 0.5783132530120482 , -0.8612412360685653 )
( 0.5823293172690762 , -0.8687611663035142 )
( 0.5863453815261044 , -0.8759077461406264 )
( 0.5903614457831324 , -0.8826825099045692 )
( 0.5943775100401606 , -0.8890871408714247 )
( 0.5983935742971886 , -0.8951234652462006 )
( 0.6024096385542168 , -0.900793446446869 )
( 0.606425702811245 , -0.9060991796692122 )
( 0.610441767068273 , -0.9110428867110016 )
( 0.6144578313253012 , -0.9156269110366253 )
( 0.6184738955823292 , -0.9198537130604763 )
( 0.6224899598393574 , -0.923725865640705 )
( 0.6265060240963854 , -0.9272460497613935 )
( 0.6305220883534136 , -0.930417050395576 )
( 0.6345381526104417 , -0.9332417525365742 )
( 0.6385542168674698 , -0.9357231373841728 )
( 0.642570281124498 , -0.9378642786808058 )
( 0.646586345381526 , -0.9396683391834983 )
( 0.6506024096385542 , -0.9411385672682258 )
( 0.6546184738955823 , -0.9422782936572531 )
( 0.6586345381526104 , -0.943090928259295 )
( 0.6626506024096385 , -0.9435799571242427 )
( 0.6666666666666666 , -0.9437489394969276 )
( 0.6706827309236947 , -0.9436015049702178 )
( 0.6746987951807228 , -0.9431413507325601 )
( 0.6787148594377509 , -0.9423722389004325 )
( 0.6827309236947791 , -0.9412979939368853 )
( 0.6867469879518072 , -0.9399225001468494 )
( 0.6907630522088353 , -0.9382496992489422 )
( 0.6947791164658634 , -0.9362835880186395 )
( 0.6987951807228915 , -0.9340282159968325 )
( 0.7028112449799196 , -0.9314876832661838 )
( 0.7068273092369477 , -0.9286661382848536 )
( 0.7108433734939759 , -0.9255677757804222 )
( 0.7148594377510039 , -0.9221968346986529 )
( 0.7188755020080321 , -0.9185575962028736 )
( 0.7228915662650601 , -0.9146543817253274 )
( 0.7269076305220883 , -0.9104915510635436 )
( 0.7309236947791165 , -0.906073500521714 )
( 0.7349397590361445 , -0.9014046610954978 )
( 0.7389558232931727 , -0.896489496695267 )
( 0.7429718875502007 , -0.8913325024072378 )
( 0.7469879518072289 , -0.8859382027920191 )
( 0.7510040160642569 , -0.8803111502143679 )
( 0.7550200803212851 , -0.8744559232065114 )
( 0.7590361445783131 , -0.8683771248600749 )
( 0.7630522088353413 , -0.8620793812459482 )
( 0.7670682730923694 , -0.8555673398610537 )
( 0.7710843373493975 , -0.8488456680979652 )
( 0.7751004016064257 , -0.8419190517383726 )
( 0.7791164658634537 , -0.8347921934657734 )
( 0.7831325301204819 , -0.8274698113984158 )
( 0.78714859437751 , -0.8199566376392369 )
( 0.7911646586345381 , -0.8122574168408079 )
( 0.7951807228915662 , -0.804376904784263 )
( 0.7991967871485943 , -0.7963198669718707 )
( 0.8032128514056224 , -0.7880910772286143 )
( 0.8072289156626505 , -0.7796953163135925 )
( 0.8112449799196786 , -0.7711373705385398 )
( 0.8152610441767068 , -0.7624220303910647 )
( 0.8192771084337349 , -0.7535540891639556 )
( 0.823293172690763 , -0.7445383415842031 )
( 0.8273092369477911 , -0.7353795824440255 )
( 0.8313253012048192 , -0.7260826052295499 )
( 0.8353413654618473 , -0.7166522007461538 )
( 0.8393574297188754 , -0.7070931557406368 )
( 0.8433734939759036 , -0.6974102515121103 )
( 0.8473895582329316 , -0.6876082625189923 )
( 0.8514056224899598 , -0.677691954969049 )
( 0.8554216867469878 , -0.6676660854015637 )
( 0.859437751004016 , -0.6575353992479478 )
( 0.8634538152610441 , -0.6473046293798888 )
( 0.8674698795180722 , -0.6369784946317907 )
( 0.8714859437751004 , -0.626561698301856 )
( 0.8755020080321284 , -0.6160589266274457 )
( 0.8795180722891566 , -0.6054748472282796 )
( 0.8835341365461846 , -0.5948141075199231 )
( 0.8875502008032128 , -0.5840813330880366 )
( 0.8915662650602408 , -0.5732811260242556 )
( 0.895582329317269 , -0.5624180632155173 )
( 0.899598393574297 , -0.5514966945866036 )
( 0.9036144578313252 , -0.5405215412864237 )
( 0.9076305220883534 , -0.529497093816218 )
( 0.9116465863453814 , -0.5184278100893067 )
( 0.9156626506024096 , -0.5073181134211211 )
( 0.9196787148594376 , -0.4961723904370672 )
( 0.9236947791164658 , -0.4849949888890279 )
( 0.9277108433734939 , -0.4737902153769653 )
( 0.931726907630522 , -0.4625623329564519 )
( 0.9357429718875501 , -0.45131555862423056 )
