
cheapmax-UCB-DIRECT errors:
( 1 , 1.999992473301388 )
( 2 , 0.04762764108740779 )
( 3 , 1.9999974910988887 )
( 4 , 0.166378830831531 )
( 5 , 0.013217287534836603 )
( 6 , 0.019363244822546727 )
( 7 , 0.13961293616559342 )
( 8 , 0.0016959362323360322 )
( 9 , 0.04376509885619394 )
( 10 , 0.00536025800581179 )
( 11 , 0.022418213175894007 )
( 12 , 0.018438676042476666 )
( 13 , 0.0013493190009382643 )
( 14 , 0.0018974611036691367 )
( 15 , 0.003096029044606762 )
( 16 , 2.0144762728747053e-05 )
( 17 , 0.0494499804447315 )
( 18 , 0.0009016227097661699 )
( 19 , 0.0064094617105381075 )
( 20 , 0.0003763097915474259 )
( 21 , 0.0007980030092042553 )
( 22 , 0.000194238055564316 )
( 23 , 0.00014426890511411172 )
( 24 , 0.0003349644700010571 )
( 25 , 3.7501828356794696e-05 )
( 26 , 7.207037993835636e-05 )
( 27 , 6.640987817636151e-06 )
( 28 , 0.00015114363933699948 )
( 29 , 2.0119875498550598e-05 )
( 30 , 0.00040956406290114464 )
( 31 , 4.370490321002873e-07 )
( 32 , 1.0430544250019496e-05 )
( 33 , 4.523287685706732e-05 )
( 34 , 5.705542691659509e-06 )
( 35 , 8.40410998956796e-07 )


mccormick-UCB-DIRECT errors:
( 1 , 0.8176540341090637 )
( 2 , 7.499842032113342 )
( 3 , 0.1643778292227316 )
( 4 , 0.047974487575614955 )
( 5 , 0.009395653579382657 )
( 6 , 0.0019597070222356905 )
( 7 , 0.00025073385104357193 )
( 8 , 0.0002279151447832639 )
( 9 , 0.00010130002401753657 )
( 10 , 8.235700844716476e-05 )
( 11 , 7.986807671622742e-05 )
( 12 , 7.775274214960604e-05 )
( 13 , 7.709531039168382e-05 )
( 14 , 7.710494438351034e-05 )
( 15 , 7.709707919301145e-05 )
( 16 , 7.709531039168382e-05 )
( 17 , 7.709531039168382e-05 )
( 18 , 3.8347859468739367 )



rosenbrock-UCB-DIRECT pts:
( 1 , 0.40648579597473145 )
( 2 , 0.8448868095874786 )
( 3 , 0.7455267533659935 )
( 4 , 0.5387970134615898 )
( 5 , 0.06813257187604904 )
( 6 , 0.005309954285621643 )
( 7 , 0.004155091941356659 )
( 8 , 0.0038114413619041443 )
( 9 , 0.0007435828447341919 )
( 10 , 0.00020994246006011963 )
( 11 , 0.00023430585861206055 )
( 12 , 0.00020491331815719604 )
( 13 , 0.0001913905143737793 )
( 14 , 0.000190049409866333 )
( 15 , 0.00018533319234848022 )
( 16 , 0.00018055737018585205 )
( 17 , 0.00017609447240829468 )
( 18 , 0.0001776367425918579 )
( 19 , 0.00017193704843521118 )
( 20 , 0.00016617774963378906 )
( 21 , 0.00016224384307861328 )
( 22 , 0.00016170740127563477 )
( 23 , 0.00015735626220703125 )
( 24 , 0.00015211105346679688 )
( 25 , 0.0001475811004638672 )
( 26 , 0.0001417100429534912 )
( 27 , 0.00016458332538604736 )
( 28 , 0.00013665854930877686 )
( 29 , 0.0001314207911491394 )
( 30 , 0.00012659281492233276 )
( 31 , 0.00012154132127761841 )
( 32 , 0.00011751800775527954 )
( 33 , 0.00011356174945831299 )
( 34 , 0.00010976195335388184 )
( 35 , 0.00010588765144348145 )
( 36 , 0.00010444968938827515 )
( 37 , 0.00010205060243606567 )
( 38 , 9.85860824584961e-05 )
( 39 , 9.527057409286499e-05 )
( 40 , 9.218603372573853e-05 )
( 41 , 8.858740329742432e-05 )
( 42 , 8.581578731536865e-05 )
( 43 , 8.220970630645752e-05 )
( 44 , 7.934123277664185e-05 )
( 45 , 7.720291614532471e-05 )
( 46 , 7.439404726028442e-05 )
( 47 , 7.130950689315796e-05 )
( 48 , 6.912648677825928e-05 )
( 49 , 6.621330976486206e-05 )
( 50 , 6.405264139175415e-05 )
